mapping,k,hour,stamp,wspd_m_s,gust_m_s,excess_m_s,model_peak_m_s,model_mean_m_s,peak_err_m_s,mean_err_m_s
naive,1.0,1096.0,2026-09-19 16:00,6.0,8.0,2.0,13.003756302205272,6.6651198472198985,5.003756302205272,0.6651198472198985
calibrated,0.363,0.0,2026-08-05 00:00,4.0,6.0,2.0,6.138162815918291,4.132303268749197,0.1381628159182906,0.1323032687491974
calibrated,0.363,48.0,2026-08-07 00:00,2.0,3.0,1.0,3.082794744957588,2.065717579466751,0.08279474495758787,0.06571757946675083
calibrated,0.363,94.0,2026-08-08 22:00,5.0,6.0,1.0,6.24023515387329,5.026277041271629,0.2402351538732903,0.02627704127162911
calibrated,0.363,140.0,2026-08-10 20:00,2.0,3.0,1.0,3.193366850653325,2.0658363328941274,0.19336685065332482,0.06583633289412738
calibrated,0.363,195.0,2026-08-13 03:00,2.0,3.0,1.0,3.082794744957588,2.065717579466751,0.08279474495758787,0.06571757946675083
calibrated,0.363,250.0,2026-08-15 10:00,3.0,4.0,1.0,4.254524065716816,3.043883523799992,0.25452406571681596,0.04388352379999194
calibrated,0.363,299.0,2026-08-17 11:00,3.0,4.0,1.0,4.173082083473634,3.043814793215239,0.17308208347363419,0.04381479321523907
calibrated,0.363,348.0,2026-08-19 12:00,4.0,5.0,1.0,5.211773111834851,4.032854969202012,0.2117731118348507,0.03285496920201236
calibrated,0.363,395.0,2026-08-21 11:00,6.0,7.0,1.0,7.237682549533286,6.021881131470019,0.23768254953328594,0.021881131470019355
calibrated,0.363,438.0,2026-08-23 06:00,6.0,7.0,1.0,7.244154296241363,6.021889509894564,0.24415429624136298,0.02188950989456373
calibrated,0.363,484.0,2026-08-25 04:00,6.0,7.0,1.0,7.237682549533286,6.021881131470019,0.23768254953328594,0.021881131470019355
calibrated,0.363,527.0,2026-08-26 23:00,7.0,9.0,2.0,9.503775194110538,7.075198828358193,0.5037751941105384,0.07519882835819303
calibrated,0.363,571.0,2026-08-28 19:00,6.0,8.0,2.0,8.509048131433632,6.087767047599984,0.5090481314336319,0.08776704759998388
calibrated,0.363,614.0,2026-08-30 14:00,8.0,9.0,1.0,9.202539602445936,8.016381487946436,0.2025396024459365,0.016381487946436124
calibrated,0.363,662.0,2026-09-01 14:00,4.0,5.0,1.0,5.176889958843928,4.032909549423729,0.17688995884392789,0.03290954942372881
calibrated,0.363,718.0,2026-09-03 22:00,6.0,7.0,1.0,7.131028612270357,6.022024384663375,0.13102861227035678,0.022024384663374974
calibrated,0.363,763.0,2026-09-05 19:00,5.0,6.0,1.0,6.24023515387329,5.026277041271629,0.2402351538732903,0.02627704127162911
calibrated,0.363,806.0,2026-09-07 14:00,4.0,5.0,1.0,5.2437632328554,4.032870957336526,0.24376323285540025,0.032870957336525564
calibrated,0.363,857.0,2026-09-09 17:00,4.0,5.0,1.0,5.211773111834851,4.032854969202012,0.2117731118348507,0.03285496920201236
calibrated,0.363,910.0,2026-09-11 22:00,4.0,5.0,1.0,5.164608293095244,4.03284072406082,0.16460829309524438,0.03284072406082039
calibrated,0.363,955.0,2026-09-13 19:00,8.0,10.0,2.0,10.423546223669701,8.065709938404025,0.4235462236697014,0.06570993840402473
calibrated,0.363,998.0,2026-09-15 14:00,7.0,9.0,2.0,9.428045534256466,7.075122466995742,0.42804553425646574,0.07512246699574199
calibrated,0.363,1046.0,2026-09-17 14:00,2.0,3.0,1.0,3.200359829677968,2.066060559926381,0.20035982967796784,0.06606055992638105
calibrated,0.363,1096.0,2026-09-19 16:00,6.0,8.0,2.0,8.497910879490323,6.08771864527506,0.4979108794903233,0.08771864527505979
