hour,stamp,pres_hPa,atmp_C,rh,wspd_m_s,gust_m_s,rho0_model,rho0_obs,rho30_model,v_stall_m_s,cl_trim,alpha_trim_deg,cd_trim,drag_N,power_W,thrust_avail_N,margin
645.0,2026-08-31 21:00,1015.2,16.3,0.88529599323067,3.0,3.0,1.2143972648883172,1.2143972648883172,1.210973741235282,6.5719210687940075,0.47353908018045254,2.180178322969089,0.03338916903733208,58.08309449533664,1074.0287478273672,416.11240585024586,7.1640880959545745
646.0,2026-08-31 22:00,1015.0,16.4,0.8968740086034812,3.0,3.0,1.2135917129093792,1.2135917129093792,1.2101705553020592,6.574101587481172,0.4738533663993378,2.1841267131582556,0.03340030845656,58.063935564735246,1073.6744753420198,415.8364166857926,7.16169878326932
647.0,2026-08-31 23:00,1014.6,16.5,0.9085670159045697,3.0,4.0,1.2125436781162398,1.2125436781162398,1.2091247496690596,6.576944034661083,0.4742632153582082,2.1892756618267146,0.03341484606178153,58.03900854988009,1073.2135437958518,415.4770590191637,7.1585829840992705
648.0,2026-09-01 00:00,1014.4,16.5,0.9144252726172231,4.0,5.0,1.2122532529678733,1.2122532529678733,1.2088347441141978,6.577732908380726,0.47437699349669243,2.190705061077265,0.03341888407415584,58.03210007207243,1073.0857974380929,415.3774078830288,7.157718010672622
649.0,2026-09-01 01:00,1014.1,16.5,0.9144252726172231,4.0,5.0,1.2118924369338995,1.2118924369338995,1.2084736850057334,6.5787154589496435,0.47451872445573035,2.1924856327171907,0.03342391549338805,58.02350131690184,1072.9267957469986,415.25334146510306,7.156640534275077
650.0,2026-09-01 02:00,1014.0,16.3,0.92613180915866,4.0,5.0,1.2126094578332138,1.2126094578332138,1.209188972821609,6.576769373091108,0.47423802601269377,2.1889592070834762,0.033413952217059666,58.040538693654256,1073.241838059717,415.4991272520316,7.1587744808002505
651.0,2026-09-01 03:00,1013.9,16.3,0.92613180915866,4.0,5.0,1.2124891027180638,1.2124891027180638,1.2090685365695815,6.577096923476304,0.4742852652292431,2.1895526752279872,0.03341562854112095,58.03766931669088,1073.1887797064423,415.4577431849159,7.158415354653735
652.0,2026-09-01 04:00,1014.2,16.2,0.932048016700281,4.0,5.0,1.2132693317642445,1.2132693317642445,1.2098481826719525,6.574977387144377,0.4739796279900059,2.185712942511967,0.03340478569652528,58.05624941173613,1073.5323488015356,415.72564363917223,7.160738901523543
653.0,2026-09-01 05:00,1014.7,16.4,0.8516694019587312,4.0,5.0,1.2136133672534006,1.2136133672534006,1.2101875015934562,6.5740555586505,0.47384673101662567,2.184043352582998,0.03340007319867137,58.06433966317622,1073.6819476254154,415.84223973698136,7.16174922765382
654.0,2026-09-01 06:00,1014.8,16.3,0.92613180915866,4.0,5.0,1.2135722987544144,1.2135722987544144,1.2101524628378282,6.574150730567237,0.4738604507753528,2.1842157144541234,0.033400559637169154,58.063504141169126,1073.6664977830326,415.83019978895777,7.161644925493208
655.0,2026-09-01 07:00,1014.6,16.2,0.932048016700281,3.0,4.0,1.2137509186048208,1.2137509186048208,1.2103300942844812,6.5736682924456185,0.4737909056836624,2.183342016718635,0.033398094038621956,58.06774013153511,1073.7448265199587,415.89123715591677,7.162173630553548
656.0,2026-09-01 08:00,1014.5,16.2,0.9025273159768378,3.0,4.0,1.2138773840344905,1.2138773840344905,1.2104535931262983,6.57333293835453,0.4737425662607818,2.1827347266385018,0.03339638046284462,58.07068558833377,1073.7992916841297,415.9336735840888,7.162541123290073
657.0,2026-09-01 09:00,1014.4,16.3,0.8571057312875529,3.0,3.0,1.213671584467029,1.213671584467029,1.2102446419118045,6.573900363556693,0.473824358884479,2.1837622906026413,0.03339928001767444,58.06570226389581,1073.707143809561,415.86187418034643,7.1619193080684
