window,t_s,n_load
calm,5624.0,0.7800484401991448
calm,5625.0,0.8050063130805467
calm,5626.0,0.8401241004426555
calm,5627.0,0.786469154847218
calm,5628.0,0.8441587308854368
calm,5629.0,1.0201096764928093
calm,5630.0,1.013965197913021
calm,5631.0,0.788419350664535
calm,5632.0,0.6875214969483456
calm,5633.0,0.8524728590002512
calm,5634.0,0.9733360116023267
calm,5635.0,0.8501478842310108
calm,5636.0,0.7732431532262463
calm,5637.0,0.9370761680729758
calm,5638.0,1.0664867412065115
calm,5639.0,0.8796864891156121
calm,5640.0,0.6195437826125008
calm,5641.0,0.6808045269619036
calm,5642.0,0.9580390980901748
calm,5643.0,1.0757349578527333
calm,5644.0,0.9354833379485428
calm,5645.0,0.798183700941899
calm,5646.0,0.8135414211400132
calm,5647.0,0.860252113967442
calm,5648.0,0.8342062494342916
calm,5649.0,0.793504140695472
calm,5650.0,0.8368556298838534
calm,5651.0,0.9502622122204551
calm,5652.0,1.0211808642612052
calm,5653.0,0.9303782146523
calm,5654.0,0.7277351700070872
calm,5655.0,0.6616167161856665
calm,5656.0,0.8348260421003917
calm,5657.0,1.0319366984839187
calm,5658.0,0.9900102918047743
calm,5659.0,0.7975934235260804
calm,5660.0,0.7845098907231103
calm,5661.0,0.9291279029047177
calm,5662.0,0.9059440265775537
calm,5663.0,0.7187923136494445
calm,5664.0,0.7321570099201294
calm,5665.0,1.0152648261694581
calm,5666.0,1.1343897267378118
calm,5667.0,0.8526594929780372
calm,5668.0,0.593889622739859
calm,5669.0,0.7268340889446995
calm,5670.0,1.0037456588307148
calm,5671.0,1.0163367936653238
calm,5672.0,0.8494182331737273
calm,5673.0,0.8244956751218453
calm,5674.0,0.8918845299853434
calm,5675.0,0.8315471592869362
calm,5676.0,0.7386437609773304
calm,5677.0,0.8373044934166307
calm,5678.0,0.9936027980753962
calm,5679.0,0.9622001901777538
calm,5680.0,0.8363269188072711
calm,5681.0,0.8411125922603715
calm,5682.0,0.8665792831374429
calm,5683.0,0.7446341964785002
calm,5684.0,0.6870096697653089
calm,5685.0,0.9556429091971397
calm,5686.0,1.2211039121315754
calm,5687.0,0.997556926777651
calm,5688.0,0.5833452733012169
calm,5689.0,0.5839200543353227
calm,5690.0,0.969259594534166
calm,5691.0,1.0956227262388383
calm,5692.0,0.8088174324446441
calm,5693.0,0.703790878526872
calm,5694.0,0.9892144943121183
calm,5695.0,1.1106958425279982
calm,5696.0,0.7735922644203895
calm,5697.0,0.5092218376897716
calm,5698.0,0.7730484546574549
calm,5699.0,1.1505700449077543
calm,5700.0,1.0675566276292006
calm,5701.0,0.7446049998300277
calm,5702.0,0.7111939940662944
