lead_h,stamp,wspd_true,wspd_fc,wspd_pers,gex_true,gex_fc,gex_pers,pres_true,pres_fc,atmp_true,atmp_fc
17,2026-09-06 16:00,5.0,4.569742873804628,5.0,1.0,1.2483741800809294,2.0,1016.2,1016.3150686211565,16.0,15.726205428233392
18,2026-09-06 17:00,5.0,4.388473021433851,5.0,2.0,1.1827168545676745,2.0,1016.1,1016.5453543282542,15.9,15.817011286204778
19,2026-09-06 18:00,6.000000000000001,4.4668527310732715,5.0,1.0,1.180085209199605,2.0,1016.2,1016.7842808598824,15.8,15.926683784116374
20,2026-09-06 19:00,5.0,4.493494357041505,5.0,2.0,1.1461873476283861,2.0,1016.4,1017.0224476603748,15.9,16.01782556527123
21,2026-09-06 20:00,5.0,4.562387969207475,5.0,2.0,1.1433769186260254,2.0,1016.3,1016.8945609456076,16.0,16.156065705539394
22,2026-09-06 21:00,5.0,4.911941705115817,5.0,1.0,1.203346871678281,2.0,1016.4,1016.6535357162827,16.1,16.2382660518303
23,2026-09-06 22:00,5.0,5.132290612011357,5.0,1.0,1.2319888718276575,2.0,1016.3,1016.4401495194433,16.2,16.323810125180792
24,2026-09-06 23:00,5.0,5.579073412715831,5.0,1.0,1.2314546932295891,2.0,1015.9,1016.0780248392714,16.3,16.360569829587266
25,2026-09-07 00:00,5.0,5.674454465624598,5.0,1.0,1.3207466593060404,2.0,1015.5,1015.5776549190706,16.5,16.373637740038085
26,2026-09-07 01:00,5.0,6.015389180280675,5.0,1.0,1.2245439418414177,2.0,1015.4,1015.3723613692102,16.6,16.331679851976148
27,2026-09-07 02:00,5.0,6.1488030369336135,5.0,1.0,1.3159235046730953,2.0,1015.2,1015.2698223710247,16.7,16.224299435010014
28,2026-09-07 03:00,5.0,6.09817720992857,5.0,1.0,1.3448643985664424,2.0,1015.2,1015.1669309720384,16.5,16.101501225837545
29,2026-09-07 04:00,5.0,5.822513494850389,5.0,1.0,1.28009431013223,2.0,1015.3,1015.3574634704099,16.4,16.0382812714143
30,2026-09-07 05:00,6.000000000000001,5.700076593475271,5.0,1.0,1.215396918991173,2.0,1015.5,1015.7351862198822,16.4,16.000259284974895
31,2026-09-07 06:00,6.000000000000001,5.311348143875841,5.0,1.0,1.2444974993242,2.0,1015.5,1015.8751185908759,16.4,15.946806418899932
32,2026-09-07 07:00,6.000000000000001,5.06279980334548,5.0,2.0,1.367396719448757,2.0,1015.3,1015.7116524654036,16.3,15.912292791257366
33,2026-09-07 08:00,7.0,4.718693670286016,5.0,2.0,1.3966040877806267,2.0,1015.0,1015.6979269981822,16.2,15.86233838294896
34,2026-09-07 09:00,6.000000000000001,4.544992879717097,5.0,1.0,1.2383584333814903,2.0,1015.5,1015.6152052277818,16.1,15.871939175255536
35,2026-09-07 10:00,6.0,4.48588685912762,5.0,1.0,1.2051638267942921,2.0,1015.1,1015.3759998499908,15.9,15.831715762088734
36,2026-09-07 11:00,6.000000000000001,4.466290902292179,5.0,1.0,1.1095194203085028,2.0,1014.8,1015.330321800781,15.8,15.810414281516383
37,2026-09-07 12:00,5.0,4.442021981918229,5.0,2.0,1.2326708391902799,2.0,1014.7,1015.3031816572394,15.7,15.739280578304061
38,2026-09-07 13:00,5.0,4.141532782472213,5.0,1.0,1.1683691540086496,2.0,1014.6,1015.3445893624292,15.5,15.618310524251635
39,2026-09-07 14:00,4.0,3.9585081347916526,5.0,1.0,1.135361771763209,2.0,1014.7,1015.5483037668847,15.3,15.513125036153177
40,2026-09-07 15:00,4.0,4.136370346286041,5.0,1.0,1.2586473371343498,2.0,1015.3,1016.117458437749,15.2,15.454970093213342
41,2026-09-07 16:00,4.0,3.946876334217647,5.0,1.0,1.1944750838544183,2.0,1015.8,1016.4708113577128,15.1,15.484466785481597
42,2026-09-07 17:00,4.0,3.775174079173977,5.0,1.0,1.1303431984892416,2.0,1015.8,1016.6927449093296,15.1,15.5797363736523
43,2026-09-07 18:00,2.0,3.85669001036346,5.0,1.0,1.1287505443370085,2.0,1016.1,1016.9238912097353,14.8,15.693900221227235
44,2026-09-07 19:00,3.0,3.8978802153034424,5.0,2.0,1.0959458627138836,2.0,1016.1,1017.1548818700273,14.8,15.789454805715966
45,2026-09-07 20:00,3.0,3.9839356267513373,5.0,1.0,1.0944277195119476,2.0,1015.6,1017.0200981785664,15.6,15.93202171466378
46,2026-09-07 21:00,4.0,4.35905819522383,5.0,1.0,1.1554449576179429,2.0,1015.1,1016.7726711273676,16.4,16.01847264340997
47,2026-09-07 22:00,5.0,4.591466038468577,5.0,1.0,1.1852463259281896,2.0,1014.8,1016.5532313799752,16.7,16.10817938967391
48,2026-09-07 23:00,5.0,5.055431811526998,5.0,1.0,1.1858467445535212,2.0,1014.3,1016.1853730667111,16.7,16.149021929302503
