# t,x,z,Vx,Vz,T,L,D,R,N_water
3.928399999999999892e+01,3.666940077793676664e+02,-5.099667772481170092e-02,7.353402814907914137e-04,2.892649982877237291e-01,2.746097646213944188e+01,-1.594295310382706221e+00,3.329428903299846282e-02,3.329555530743030095e-02,9.769288832006510575e+02
3.928500000000000369e+01,3.666940082792244766e+02,-5.070561355720207969e-02,4.998568140678768222e-04,2.910641676096199504e-01,2.746092408216014746e+01,-1.614400285847971350e+00,3.371570897431476477e-02,3.373435809848382427e-02,9.763638363126698323e+02
3.928600000000000136e+01,3.666940085441746646e+02,-5.041275695471496288e-02,2.649501948938660359e-04,2.928566024871186446e-01,2.746087161303125512e+01,-1.634539479549109497e+00,3.413788689339661286e-02,3.414650418164810047e-02,9.757972655812650373e+02
3.928699999999999903e+01,3.666940085747964986e+02,-5.011811466889411204e-02,3.062183592675784432e-05,2.946422858208485041e-01,2.746081901116205870e+01,-1.654729622880979578e+00,3.456117229972839600e-02,3.456359335966866647e-02,9.752292464628752668e+02
3.928800000000000381e+01,3.666940083716696108e+02,-4.982169346748561295e-02,-2.031269144993436083e-04,2.964212014084990354e-01,2.746076628074053616e+01,-1.674969108372054816e+00,3.498553170917531596e-02,3.498556404896429467e-02,9.746598544342532477e+02
3.928900000000000148e+01,3.666940090950048443e+02,-4.952350013354070435e-02,7.233352206401260417e-04,2.981933339449058251e-01,2.746071342592653508e+01,-1.695256339354619612e+00,3.541093184725743748e-02,3.541235486850626696e-02,9.740891649793169336e+02
3.928999999999999915e+01,3.666940095857531787e+02,-4.922354155622941235e-02,4.907483349311608746e-04,2.999585773112912745e-01,2.746066043411907387e+01,-1.715596152451632994e+00,3.583747683956551439e-02,3.585552200349757801e-02,9.735162216240244106e+02
3.929100000000000392e+01,3.666940098444986802e+02,-4.892182455944798364e-02,2.587454825267638831e-04,3.017169967814309905e-01,2.746060737276314256e+01,-1.735962660294410265e+00,3.626462304664492681e-02,3.627292914302083365e-02,9.729421173364166862e+02
3.929200000000000159e+01,3.666940098718264380e+02,-4.861835597987514135e-02,2.732776478902551641e-05,3.034685795728455093e-01,2.746055419967258615e+01,-1.756372055171543600e+00,3.669270872665551797e-02,3.669501771928090905e-02,9.723669277603472665e+02
3.929299999999999926e+01,3.666940096683226784e+02,-4.831314266607351221e-02,-2.035037799888460058e-04,3.052133138016261960e-01,2.746050091889720690e+01,-1.776822782648914467e+00,3.712170142374823095e-02,3.712172718001536392e-02,9.717907284986978311e+02
3.929400000000000404e+01,3.666940103907812158e+02,-4.800619147759171285e-02,7.224585184395224732e-04,3.069511884817976433e-01,2.746044753445415765e+01,-1.797313300824180171e+00,3.755156892776243677e-02,3.755299723424234543e-02,9.712135951006752066e+02
3.929500000000000171e+01,3.666940108835822230e+02,-4.769750937829945331e-02,4.928010167391182975e-04,3.086820992922619800e-01,2.746039403354768993e+01,-1.817848521081434798e+00,3.798241717326161088e-02,3.800041862087008560e-02,9.706345349557461759e+02
3.929599999999999937e+01,3.666940111473154502e+02,-4.738710326037001708e-02,2.637332049457877616e-04,3.104061179294349548e-01,2.746034048330475841e+01,-1.838402678124998912e+00,3.841370458167946839e-02,3.842208030855930045e-02,9.700546773029559517e+02
3.929700000000000415e+01,3.666940111825713302e+02,-4.707498002443964713e-02,3.525587693284839967e-05,3.121232359303728887e-01,2.746028684162171274e+01,-1.858991932569734828e+00,3.884576875684447872e-02,3.884816762659449446e-02,9.694740976759273963e+02
3.929800000000000182e+01,3.666940109899410913e+02,-4.676114657871096453e-02,-1.926302356660077899e-04,3.138334457286851564e-01,2.746023311238852216e+01,-1.879614791334228485e+00,3.927857844489007766e-02,3.927862131334396156e-02,9.688928715068828978e+02
3.929899999999999949e+01,3.666940117227679252e+02,-4.644560983805778864e-02,7.328268459557442643e-04,3.155367406531742192e-01,2.746017929945831781e+01,-1.900269775472125389e+00,3.971210267128453403e-02,3.971338242161286808e-02,9.683110741135834587e+02
3.930000000000000426e+01,3.666940122288918360e+02,-4.612837681981741406e-02,5.061239153650474651e-04,3.172330182403737542e-01,2.746012538851557139e+01,-1.920962379704885814e+00,4.014645982217777964e-02,4.016498167559511695e-02,9.677276769761243713e+02
3.930100000000000193e+01,3.666940125089066669e+02,-4.580945446328111431e-02,2.800148207696635306e-04,3.189223565362976909e-01,2.746007144895545693e+01,-1.941665968124834052e+00,4.058108962106526940e-02,4.058992434874206939e-02,9.671438447867078594e+02
3.930199999999999960e+01,3.666940125634067158e+02,-4.548884971189853799e-02,5.450005301531701363e-05,3.206047513825795447e-01,2.746001743743397938e+01,-1.962397177430010187e+00,4.101633962936644673e-02,4.101904383206381871e-02,9.665596526726905040e+02
3.930299999999999727e+01,3.666940123929867354e+02,-4.516656951238667145e-02,-1.704199581962648148e-04,3.222801995118675933e-01,2.745996335766125185e+01,-1.983154583571418383e+00,4.145217995668112193e-02,4.145228239650367713e-02,9.659751755995071107e+02
3.930400000000000205e+01,3.666940131475163298e+02,-4.484262081384091797e-02,7.545295707325508318e-04,3.239486985457523671e-01,2.745990921330672663e+01,-2.003936778103914573e+00,4.188858102298884112e-02,4.188958267536663227e-02,9.653904883581521972e+02
3.930499999999999972e+01,3.666940136783152298e+02,-4.451701066592080730e-02,5.307988863129364234e-04,3.256101479201127802e-01,2.745985498721373830e+01,-2.024750346260367539e+00,4.232568428735116600e-02,4.234531944746371818e-02,9.648045267471500210e+02
3.930599999999999739e+01,3.666940139859799501e+02,-4.418974603398019563e-02,3.076646980967914476e-04,3.272646319406122273e-01,2.745980075363066319e+01,-2.045566789333498114e+00,4.276289001372514387e-02,4.277260718147582463e-02,9.642184900966751684e+02
3.930700000000000216e+01,3.666940140711071763e+02,-4.386083388325921067e-02,8.512719967481520216e-05,3.289121507209836759e-01,2.745974646665307617e+01,-2.066403726789708628e+00,4.320056631890843019e-02,4.320383094023972498e-02,9.636324528335518380e+02
3.930799999999999983e+01,3.666940139342937073e+02,-4.353028117800225583e-02,-1.368134751541538762e-04,3.305527052569528501e-01,2.745969212979299812e+01,-2.087259810610518240e+00,4.363868482422716272e-02,4.363893475053074594e-02,9.630464891633943125e+02
