# t,x,z,Vx,Vz,T,L,D,R,N_water
6.163999999999999702e+00,4.361071458137747925e+01,1.453293705138800185e+00,1.460393367621788485e+01,1.095814489120303659e+00,3.337549022509480210e+02,8.041200084717513619e+02,8.206424145388606917e+01,8.206424145388606917e+01,0.000000000000000000e+00
6.165000000000000036e+00,4.362532090065524670e+01,1.454389950309350477e+00,1.460631927776964645e+01,1.096245170550304682e+00,3.336838704741307993e+02,8.041061573744358384e+02,8.208560246015198913e+01,8.208560246015198913e+01,0.000000000000000000e+00
6.166000000000000369e+00,4.363992960422550738e+01,1.455486625876532436e+00,1.460870357026212929e+01,1.096675567181904176e+00,3.336128659589689391e+02,8.040923195302077602e+02,8.210695739759719913e+01,8.210695739759719913e+01,0.000000000000000000e+00
6.166999999999999815e+00,4.365454069077979682e+01,1.456583731555763039e+00,1.461108655428811431e+01,1.097105679230499176e+00,3.335418887071564882e+02,8.040784949207397858e+02,8.212830626095723119e+01,8.212830626095723119e+01,0.000000000000000000e+00
6.168000000000000149e+00,4.366915415901024033e+01,1.457681267062674202e+00,1.461346823044021725e+01,1.097535506911246683e+00,3.334709387203696451e+02,8.040646835277381115e+02,8.214964904498198450e+01,8.214964904498198450e+01,0.000000000000000000e+00
6.169000000000000483e+00,4.368377000760955298e+01,1.458779232113113222e+00,1.461584859931088154e+01,1.097965050439063894e+00,3.334000160002676125e+02,8.040508853329463363e+02,8.217098574443612335e+01,8.217098574443612335e+01,0.000000000000000000e+00
6.169999999999999929e+00,4.369838823527104665e+01,1.459877626423141894e+00,1.461822766149238539e+01,1.098394310028629528e+00,3.333291205484916873e+02,8.040371003181426204e+02,8.219231635409886394e+01,8.219231635409886394e+01,0.000000000000000000e+00
6.171000000000000263e+00,4.371300884068862302e+01,1.460976449709036284e+00,1.462060541757683474e+01,1.098823285894383384e+00,3.332582523666660563e+02,8.040233284651410486e+02,8.221364086876397437e+01,8.221364086876397437e+01,0.000000000000000000e+00
6.171999999999999709e+00,4.372763182255678061e+01,1.462075701687286733e+00,1.462298186815616674e+01,1.099251978250527229e+00,3.331874114563977400e+02,8.040095697557904941e+02,8.223495928323967519e+01,8.223495928323967519e+01,0.000000000000000000e+00
6.173000000000000043e+00,4.374225717957060056e+01,1.463175382074597852e+00,1.462535701382215336e+01,1.099680387311025020e+00,3.331165978192760235e+02,8.039958241719755279e+02,8.225627159234878150e+01,8.225627159234878150e+01,0.000000000000000000e+00
