t,msg,x,y,z,Vx,Vz,roll,pitch,yaw,alt_mm,mode
0.9500000000000003,HIL_STATE,12.44682097326794,0.0,24.319906991141533,13.145885807842086,-0.5272288617685896,0.0,-2.0,0.0,24319,LAND
1.0000000000000002,HIL_STATE,13.104061514935433,0.0,24.293542928553844,13.144810833349846,-0.5272812517537866,0.0,-2.0,0.0,24293,LAND
1.0500000000000003,HIL_STATE,13.761250606563213,0.0,24.267175162246204,13.14378183255559,-0.5273553261528111,0.0,-2.0,0.0,24267,LAND
1.1000000000000003,HIL_STATE,14.41782490256379,0.0,24.219288949947376,13.131485920011563,-0.9577242459765548,0.0,-5.0,0.0,24219,LAND
1.1500000000000004,HIL_STATE,15.074732665855903,0.0,24.163347838618158,13.138155265842261,-1.1188222265843355,0.0,-5.0,0.0,24163,LAND
1.2000000000000004,HIL_STATE,15.732505822113144,0.0,24.104401947463597,13.155463125144793,-1.178917823091215,0.0,-5.0,0.0,24104,LAND
1.2500000000000004,HIL_STATE,16.391364829252147,0.0,24.04434948719572,13.177180142780074,-1.2010492053575423,0.0,-5.0,0.0,24044,LAND
1.3000000000000005,HIL_STATE,17.05139243722623,0.0,23.98390312303092,13.200552159481672,-1.2089272832960107,0.0,-5.0,0.0,23983,LAND
1.3500000000000005,HIL_STATE,17.712617761013465,0.0,23.923329571556412,13.224506475744715,-1.2114710294902045,0.0,-5.0,0.0,23923,LAND
1.4000000000000006,HIL_STATE,18.37504921385567,0.0,23.862728252894016,13.248629056844127,-1.2120263732479561,0.0,-5.0,0.0,23862,LAND
1.4500000000000006,HIL_STATE,19.038673363525753,0.0,23.802137205024295,13.27248299340159,-1.211820957394394,0.0,-5.0,0.0,23802,LAND
1.5000000000000007,HIL_STATE,19.70347635435476,0.0,23.74156987716231,13.296059816580115,-1.2113465572397215,0.0,-5.0,0.0,23741,LAND
1.5500000000000007,HIL_STATE,20.370693533831112,0.0,23.703176285800865,13.344343589527082,-0.7678718272288767,0.0,-2.0,0.0,23703,LAND
1.6000000000000008,HIL_STATE,21.038500889898767,0.0,23.672947600460127,13.356147121353136,-0.6045737068147394,0.0,-2.0,0.0,23672,LAND
1.6500000000000008,HIL_STATE,21.7064050435453,0.0,23.645705451324048,13.35808307293067,-0.5448429827215513,0.0,-2.0,0.0,23645,LAND
1.7000000000000008,HIL_STATE,22.374246947906908,0.0,23.61954979091703,13.356838087232186,-0.5231132081403307,0.0,-2.0,0.0,23619,LAND
1.7500000000000009,HIL_STATE,23.041397847117455,0.0,23.5715706962339,13.34301798421095,-0.959581893662651,0.0,-5.0,0.0,23571,LAND
1.800000000000001,HIL_STATE,23.708809519350556,0.0,23.51564345605297,13.348233444662005,-1.1185448036185965,0.0,-5.0,0.0,23515,LAND
1.850000000000001,HIL_STATE,24.37700531670429,0.0,23.456829829245514,13.36391594707471,-1.1762725361491544,0.0,-5.0,0.0,23456,LAND
1.900000000000001,HIL_STATE,25.04619676949287,0.0,23.396980475753804,13.383829055771567,-1.1969870698342113,0.0,-5.0,0.0,23396,LAND
1.950000000000001,HIL_STATE,25.716460406209304,0.0,23.336771482568587,13.405272734328701,-1.2041798637043244,0.0,-5.0,0.0,23336,LAND
2.000000000000001,HIL_STATE,26.38782021640738,0.0,23.276449227320526,13.42719620396154,-1.2064451049612042,0.0,-5.0,0.0,23276,LAND
2.0500000000000007,HIL_STATE,27.060276178174284,0.0,23.21610350273676,13.449119235338047,-1.2069144916752872,0.0,-5.0,0.0,23216,LAND
2.1000000000000005,HIL_STATE,27.733816501475328,0.0,23.155766984285894,13.47080646602086,-1.2067303690173743,0.0,-5.0,0.0,23155,LAND
