window_utc,window_jst,hours,pref,area,code,point,pop_pct,model_mm,district_max_mm,model_peak_mm_h,district_peak_mm_h,wet_frac,source,official_rain,model_rain,agree
2026-09-22T09:00:00Z,09/22 18:00,6.0,神奈川県,西部,140020,代表地点,20.0,0.5,0.5,0.1,0.1,0.29,予報,False,False,True
2026-09-20T21:00:00Z,09/21 06:00,6.0,高知県,中部,390010,高知(AMeDAS),10.0,1.4,1.8,0.3,0.4,1.0,予報+実況,False,True,False
2026-09-21T03:00:00Z,09/21 12:00,6.0,高知県,中部,390010,高知(AMeDAS),10.0,0.9,1.1,0.3,0.3,0.57,予報,False,True,False
2026-09-21T09:00:00Z,09/21 18:00,6.0,高知県,中部,390010,高知(AMeDAS),0.0,0.4,0.5,0.1,0.1,0.0,予報,False,False,True
2026-09-21T15:00:00Z,09/22 00:00,6.0,高知県,中部,390010,高知(AMeDAS),0.0,0.2,0.3,0.1,0.1,0.0,予報,False,False,True
2026-09-21T21:00:00Z,09/22 06:00,6.0,高知県,中部,390010,高知(AMeDAS),0.0,0.1,0.1,0.0,0.0,0.0,予報,False,False,True
2026-09-22T03:00:00Z,09/22 12:00,6.0,高知県,中部,390010,高知(AMeDAS),0.0,0.1,0.1,0.0,0.0,0.0,予報,False,False,True
2026-09-22T09:00:00Z,09/22 18:00,6.0,高知県,中部,390010,高知(AMeDAS),0.0,0.0,0.0,0.0,0.0,0.0,予報,False,False,True
2026-09-20T21:00:00Z,09/21 06:00,6.0,高知県,東部,390020,代表地点,10.0,1.9,2.4,0.4,0.5,1.0,予報+実況,False,True,False
2026-09-21T03:00:00Z,09/21 12:00,6.0,高知県,東部,390020,代表地点,10.0,1.1,1.4,0.3,0.4,1.0,予報,False,True,False
2026-09-21T09:00:00Z,09/21 18:00,6.0,高知県,東部,390020,代表地点,0.0,0.5,0.6,0.1,0.1,0.29,予報,False,False,True
2026-09-21T15:00:00Z,09/22 00:00,6.0,高知県,東部,390020,代表地点,0.0,0.3,0.3,0.1,0.1,0.0,予報,False,False,True
2026-09-21T21:00:00Z,09/22 06:00,6.0,高知県,東部,390020,代表地点,0.0,0.2,0.2,0.0,0.0,0.0,予報,False,False,True
2026-09-22T03:00:00Z,09/22 12:00,6.0,高知県,東部,390020,代表地点,0.0,0.1,0.1,0.0,0.0,0.0,予報,False,False,True
2026-09-22T09:00:00Z,09/22 18:00,6.0,高知県,東部,390020,代表地点,0.0,0.0,0.0,0.0,0.0,0.0,予報,False,False,True
2026-09-20T21:00:00Z,09/21 06:00,6.0,高知県,西部,390030,代表地点,0.0,0.9,1.1,0.2,0.2,1.0,予報+実況,False,True,False
2026-09-21T03:00:00Z,09/21 12:00,6.0,高知県,西部,390030,代表地点,0.0,0.6,0.7,0.2,0.2,0.43,予報,False,False,True
2026-09-21T09:00:00Z,09/21 18:00,6.0,高知県,西部,390030,代表地点,0.0,0.3,0.3,0.1,0.1,0.0,予報,False,False,True
2026-09-21T15:00:00Z,09/22 00:00,6.0,高知県,西部,390030,代表地点,0.0,0.2,0.2,0.0,0.0,0.0,予報,False,False,True
2026-09-21T21:00:00Z,09/22 06:00,6.0,高知県,西部,390030,代表地点,0.0,0.1,0.1,0.0,0.0,0.0,予報,False,False,True
2026-09-22T03:00:00Z,09/22 12:00,6.0,高知県,西部,390030,代表地点,0.0,0.0,0.0,0.0,0.0,0.0,予報,False,False,True
2026-09-22T09:00:00Z,09/22 18:00,6.0,高知県,西部,390030,代表地点,0.0,0.0,0.0,0.0,0.0,0.0,予報,False,False,True
2026-09-20T21:00:00Z,09/21 06:00,6.0,宮城県,東部,040010,仙台(AMeDAS),90.0,12.0,14.5,3.5,4.1,1.0,予報+実況,True,True,True
2026-09-21T03:00:00Z,09/21 12:00,6.0,宮城県,東部,040010,仙台(AMeDAS),90.0,22.1,26.4,4.5,5.7,1.0,予報,True,True,True
2026-09-21T09:00:00Z,09/21 18:00,6.0,宮城県,東部,040010,仙台(AMeDAS),80.0,28.1,34.9,5.0,6.3,1.0,予報,True,True,True
2026-09-21T15:00:00Z,09/22 00:00,6.0,宮城県,東部,040010,仙台(AMeDAS),50.0,19.1,22.4,4.3,5.0,1.0,予報,True,True,True
2026-09-21T21:00:00Z,09/22 06:00,6.0,宮城県,東部,040010,仙台(AMeDAS),10.0,8.5,10.6,2.2,2.6,1.0,予報,False,True,False
2026-09-22T03:00:00Z,09/22 12:00,6.0,宮城県,東部,040010,仙台(AMeDAS),0.0,3.4,4.2,0.9,1.1,1.0,予報,False,True,False
2026-09-22T09:00:00Z,09/22 18:00,6.0,宮城県,東部,040010,仙台(AMeDAS),0.0,1.5,1.8,0.4,0.4,1.0,予報,False,True,False
2026-09-20T21:00:00Z,09/21 06:00,6.0,宮城県,西部,040020,代表地点,90.0,10.1,11.7,2.9,3.4,1.0,予報+実況,True,True,True
2026-09-21T03:00:00Z,09/21 12:00,6.0,宮城県,西部,040020,代表地点,90.0,18.6,21.6,3.8,4.7,1.0,予報,True,True,True
2026-09-21T09:00:00Z,09/21 18:00,6.0,宮城県,西部,040020,代表地点,80.0,25.5,31.4,4.5,5.6,1.0,予報,True,True,True
2026-09-21T15:00:00Z,09/22 00:00,6.0,宮城県,西部,040020,代表地点,50.0,20.1,23.5,4.3,5.1,1.0,予報,True,True,True
2026-09-21T21:00:00Z,09/22 06:00,6.0,宮城県,西部,040020,代表地点,10.0,9.6,12.1,2.4,2.9,1.0,予報,False,True,False
2026-09-22T03:00:00Z,09/22 12:00,6.0,宮城県,西部,040020,代表地点,0.0,3.9,4.9,1.0,1.3,1.0,予報,False,True,False
2026-09-22T09:00:00Z,09/22 18:00,6.0,宮城県,西部,040020,代表地点,0.0,1.7,2.1,0.4,0.5,1.0,予報,False,True,False
2026-09-20T21:00:00Z,09/21 06:00,6.0,大阪府,大阪府,270000,大阪(AMeDAS),30.0,5.7,6.9,1.2,1.4,1.0,予報+実況,False,True,False
2026-09-21T03:00:00Z,09/21 12:00,6.0,大阪府,大阪府,270000,大阪(AMeDAS),30.0,3.1,3.6,0.9,1.0,1.0,予報,False,True,False
2026-09-21T09:00:00Z,09/21 18:00,6.0,大阪府,大阪府,270000,大阪(AMeDAS),20.0,1.4,1.6,0.3,0.4,1.0,予報,False,True,False
2026-09-21T15:00:00Z,09/22 00:00,6.0,大阪府,大阪府,270000,大阪(AMeDAS),10.0,0.7,0.9,0.2,0.2,0.71,予報,False,False,True
2026-09-21T21:00:00Z,09/22 06:00,6.0,大阪府,大阪府,270000,大阪(AMeDAS),0.0,0.4,0.4,0.1,0.1,0.0,予報,False,False,True
2026-09-22T03:00:00Z,09/22 12:00,6.0,大阪府,大阪府,270000,大阪(AMeDAS),0.0,0.2,0.2,0.0,0.0,0.0,予報,False,False,True
2026-09-22T09:00:00Z,09/22 18:00,6.0,大阪府,大阪府,270000,大阪(AMeDAS),0.0,0.1,0.1,0.0,0.0,0.0,予報,False,False,True
2026-09-20T21:00:00Z,09/21 06:00,6.0,静岡県,中部,220010,静岡(AMeDAS),80.0,32.7,42.7,6.3,8.1,1.0,予報+実況,True,True,True
2026-09-21T03:00:00Z,09/21 12:00,6.0,静岡県,中部,220010,静岡(AMeDAS),60.0,16.3,22.2,3.9,5.2,1.0,予報,True,True,True
2026-09-21T09:00:00Z,09/21 18:00,6.0,静岡県,中部,220010,静岡(AMeDAS),30.0,7.0,9.6,1.8,2.5,1.0,予報,False,True,False
2026-09-21T15:00:00Z,09/22 00:00,6.0,静岡県,中部,220010,静岡(AMeDAS),0.0,3.2,4.2,0.8,1.0,1.0,予報,False,True,False
2026-09-21T21:00:00Z,09/22 06:00,6.0,静岡県,中部,220010,静岡(AMeDAS),10.0,1.6,2.0,0.4,0.5,1.0,予報,False,True,False
2026-09-22T03:00:00Z,09/22 12:00,6.0,静岡県,中部,220010,静岡(AMeDAS),20.0,0.7,0.9,0.2,0.2,0.71,予報,False,False,True
2026-09-22T09:00:00Z,09/22 18:00,6.0,静岡県,中部,220010,静岡(AMeDAS),20.0,0.3,0.4,0.1,0.1,0.0,予報,False,False,True
2026-09-20T21:00:00Z,09/21 06:00,6.0,静岡県,西部,220040,代表地点,70.0,18.7,25.6,3.8,5.0,1.0,予報+実況,True,True,True
2026-09-21T03:00:00Z,09/21 12:00,6.0,静岡県,西部,220040,代表地点,50.0,9.1,12.8,2.3,3.2,1.0,予報,True,True,True
2026-09-21T09:00:00Z,09/21 18:00,6.0,静岡県,西部,220040,代表地点,20.0,4.0,5.5,1.0,1.4,1.0,予報,False,True,False
2026-09-21T15:00:00Z,09/22 00:00,6.0,静岡県,西部,220040,代表地点,0.0,1.9,2.6,0.5,0.6,1.0,予報,False,True,False
2026-09-21T21:00:00Z,09/22 06:00,6.0,静岡県,西部,220040,代表地点,10.0,1.0,1.3,0.2,0.3,1.0,予報,False,True,False
2026-09-22T03:00:00Z,09/22 12:00,6.0,静岡県,西部,220040,代表地点,20.0,0.4,0.6,0.1,0.1,0.14,予報,False,False,True
2026-09-22T09:00:00Z,09/22 18:00,6.0,静岡県,西部,220040,代表地点,20.0,0.2,0.3,0.0,0.1,0.0,予報,False,False,True
2026-09-20T21:00:00Z,09/21 06:00,6.0,静岡県,東部,220030,代表地点,90.0,41.2,49.1,7.9,9.5,1.0,予報+実況,True,True,True
2026-09-21T03:00:00Z,09/21 12:00,6.0,静岡県,東部,220030,代表地点,80.0,21.1,26.5,5.0,6.2,1.0,予報,True,True,True
2026-09-21T09:00:00Z,09/21 18:00,6.0,静岡県,東部,220030,代表地点,40.0,9.1,11.6,2.3,3.0,1.0,予報,False,True,False
2026-09-21T15:00:00Z,09/22 00:00,6.0,静岡県,東部,220030,代表地点,0.0,4.1,5.0,1.0,1.2,1.0,予報,False,True,False
2026-09-21T21:00:00Z,09/22 06:00,6.0,静岡県,東部,220030,代表地点,10.0,2.0,2.4,0.5,0.6,1.0,予報,False,True,False
2026-09-22T03:00:00Z,09/22 12:00,6.0,静岡県,東部,220030,代表地点,20.0,0.9,1.1,0.2,0.3,0.86,予報,False,True,False
2026-09-22T09:00:00Z,09/22 18:00,6.0,静岡県,東部,220030,代表地点,20.0,0.4,0.5,0.1,0.1,0.0,予報,False,False,True
2026-09-20T21:00:00Z,09/21 06:00,6.0,静岡県,伊豆,220020,代表地点,100.0,46.5,53.4,9.1,10.6,1.0,予報+実況,True,True,True
2026-09-21T03:00:00Z,09/21 12:00,6.0,静岡県,伊豆,220020,代表地点,90.0,23.3,27.9,5.4,6.4,1.0,予報,True,True,True
2026-09-21T09:00:00Z,09/21 18:00,6.0,静岡県,伊豆,220020,代表地点,40.0,10.0,12.3,2.6,3.2,1.0,予報,False,True,False
2026-09-21T15:00:00Z,09/22 00:00,6.0,静岡県,伊豆,220020,代表地点,0.0,4.4,5.2,1.1,1.2,1.0,予報,False,True,False
2026-09-21T21:00:00Z,09/22 06:00,6.0,静岡県,伊豆,220020,代表地点,0.0,2.1,2.5,0.5,0.6,1.0,予報,False,True,False
2026-09-22T03:00:00Z,09/22 12:00,6.0,静岡県,伊豆,220020,代表地点,10.0,1.0,1.1,0.2,0.3,1.0,予報,False,True,False
2026-09-22T09:00:00Z,09/22 18:00,6.0,静岡県,伊豆,220020,代表地点,10.0,0.4,0.5,0.1,0.1,0.14,予報,False,False,True
2026-09-20T21:00:00Z,09/21 06:00,6.0,東京都,東京地方,130010,東京(AMeDAS),90.0,50.8,55.7,9.1,10.3,1.0,予報+実況,True,True,True
2026-09-21T03:00:00Z,09/21 12:00,6.0,東京都,東京地方,130010,東京(AMeDAS),100.0,30.7,34.0,7.0,7.8,1.0,予報,True,True,True
2026-09-21T09:00:00Z,09/21 18:00,6.0,東京都,東京地方,130010,東京(AMeDAS),80.0,13.9,15.5,3.5,3.8,1.0,予報,True,True,True
2026-09-21T15:00:00Z,09/22 00:00,6.0,東京都,東京地方,130010,東京(AMeDAS),20.0,5.6,6.3,1.4,1.6,1.0,予報,False,True,False
2026-09-21T21:00:00Z,09/22 06:00,6.0,東京都,東京地方,130010,東京(AMeDAS),0.0,2.6,2.8,0.6,0.7,1.0,予報,False,True,False
2026-09-22T03:00:00Z,09/22 12:00,6.0,東京都,東京地方,130010,東京(AMeDAS),10.0,1.2,1.3,0.3,0.3,1.0,予報,False,True,False
2026-09-22T09:00:00Z,09/22 18:00,6.0,東京都,東京地方,130010,東京(AMeDAS),10.0,0.5,0.6,0.1,0.1,0.29,予報,False,False,True
2026-09-20T21:00:00Z,09/21 06:00,6.0,東京都,伊豆諸島北部,130020,三宅島(AMeDAS),100.0,31.2,37.8,6.4,7.7,1.0,予報+実況,True,True,True
2026-09-21T03:00:00Z,09/21 12:00,6.0,東京都,伊豆諸島北部,130020,三宅島(AMeDAS),100.0,14.1,17.0,3.3,4.0,1.0,予報,True,True,True
2026-09-21T09:00:00Z,09/21 18:00,6.0,東京都,伊豆諸島北部,130020,三宅島(AMeDAS),50.0,6.7,7.8,1.6,1.9,1.0,予報,True,True,True
2026-09-21T15:00:00Z,09/22 00:00,6.0,東京都,伊豆諸島北部,130020,三宅島(AMeDAS),10.0,3.2,3.8,0.8,0.9,1.0,予報,False,True,False
2026-09-21T21:00:00Z,09/22 06:00,6.0,東京都,伊豆諸島北部,130020,三宅島(AMeDAS),0.0,1.6,1.8,0.4,0.4,1.0,予報,False,True,False
2026-09-22T03:00:00Z,09/22 12:00,6.0,東京都,伊豆諸島北部,130020,三宅島(AMeDAS),20.0,0.7,0.8,0.2,0.2,0.71,予報,False,False,True
2026-09-22T09:00:00Z,09/22 18:00,6.0,東京都,伊豆諸島北部,130020,三宅島(AMeDAS),20.0,0.3,0.4,0.1,0.1,0.0,予報,False,False,True
2026-09-20T21:00:00Z,09/21 06:00,6.0,東京都,伊豆諸島南部,130030,八丈島(AMeDAS),100.0,19.0,21.1,4.2,4.6,1.0,予報+実況,True,True,True
2026-09-21T03:00:00Z,09/21 12:00,6.0,東京都,伊豆諸島南部,130030,八丈島(AMeDAS),100.0,9.6,10.4,2.1,2.3,1.0,予報,True,True,True
2026-09-21T09:00:00Z,09/21 18:00,6.0,東京都,伊豆諸島南部,130030,八丈島(AMeDAS),50.0,5.0,5.5,1.2,1.3,1.0,予報,True,True,True
2026-09-21T15:00:00Z,09/22 00:00,6.0,東京都,伊豆諸島南部,130030,八丈島(AMeDAS),10.0,2.5,2.8,0.6,0.6,1.0,予報,False,True,False
