issue_utc,head,hours,start_jst,end_jst,continued,n_regions,max_mm,regions
2026-09-18T07:48:00Z,全般気象解説情報（台風第２５号）,24,09/20 18:00,09/21 18:00,True,4,300.0,伊豆諸島 200ミリ; 東北地方 200ミリ; 東海地方 300ミリ; 関東地方 200ミリ
2026-09-18T07:59:00Z,山梨県気象解説情報（台風第２５号）,24,09/19 18:00,09/20 18:00,False,5,100.0,中北地域 60ミリ; 富士五湖 100ミリ; 峡南地域 80ミリ; 峡東地域 60ミリ; 東部 100ミリ
2026-09-18T07:59:00Z,山梨県気象解説情報（台風第２５号）,24,09/20 18:00,09/21 18:00,True,5,150.0,中北地域 100ミリ; 富士五湖 150ミリ; 峡南地域 120ミリ; 峡東地域 100ミリ; 東部 150ミリ
2026-09-18T08:08:00Z,神奈川県気象解説情報（台風第２５号）,24,09/19 18:00,09/20 18:00,False,2,100.0,東部 80ミリ; 西部 100ミリ
2026-09-18T08:08:00Z,神奈川県気象解説情報（台風第２５号）,24,09/20 18:00,09/21 18:00,True,2,150.0,東部 150ミリ; 西部 150ミリ
2026-09-18T08:09:00Z,茨城県気象解説情報（台風第２５号）,24,09/19 18:00,09/20 18:00,False,2,100.0,北部 100ミリ; 南部 100ミリ
2026-09-18T08:09:00Z,茨城県気象解説情報（台風第２５号）,24,09/20 18:00,09/21 18:00,True,2,200.0,北部 200ミリ; 南部 200ミリ
2026-09-18T08:10:00Z,静岡県気象解説情報（台風第２５号）,24,09/19 18:00,09/20 18:00,False,4,150.0,中部 80ミリ; 伊豆 150ミリ; 東部 150ミリ; 西部 80ミリ
2026-09-18T08:10:00Z,静岡県気象解説情報（台風第２５号）,24,09/20 18:00,09/21 18:00,True,4,300.0,中部 150ミリ; 伊豆 300ミリ; 東部 300ミリ; 西部 120ミリ
2026-09-18T08:29:00Z,千葉県気象解説情報（台風第２５号）,24,09/19 18:00,09/20 18:00,False,3,200.0,北東部 200ミリ; 北西部 200ミリ; 南部 200ミリ
2026-09-18T08:29:00Z,千葉県気象解説情報（台風第２５号）,24,09/20 18:00,09/21 18:00,True,3,200.0,北東部 200ミリ; 北西部 200ミリ; 南部 200ミリ
2026-09-18T08:33:00Z,東京都気象解説情報（台風第２５号）,1,,,False,1,40.0,小笠原諸島 40ミリ
2026-09-18T08:33:00Z,東京都気象解説情報（台風第２５号）,1,,,False,3,40.0,伊豆諸島北部 30ミリ; 伊豆諸島南部 30ミリ; 小笠原諸島 40ミリ
2026-09-18T08:33:00Z,東京都気象解説情報（台風第２５号）,24,09/18 18:00,09/19 18:00,False,1,180.0,小笠原諸島 180ミリ
2026-09-18T08:33:00Z,東京都気象解説情報（台風第２５号）,24,09/19 18:00,09/20 18:00,True,3,200.0,伊豆諸島北部 200ミリ; 伊豆諸島南部 200ミリ; 東京地方 150ミリ
2026-09-18T08:33:00Z,東京都気象解説情報（台風第２５号）,24,09/20 18:00,09/21 18:00,True,3,200.0,伊豆諸島北部 200ミリ; 伊豆諸島南部 200ミリ; 東京地方 200ミリ
2026-09-18T20:05:00Z,東北地方気象解説情報（台風第２５号）,24,09/20 06:00,09/21 06:00,False,2,100.0,東北太平洋側 100ミリ; 東北日本海側 60ミリ
2026-09-18T20:05:00Z,東北地方気象解説情報（台風第２５号）,24,09/21 06:00,09/22 06:00,True,2,150.0,東北太平洋側 150ミリ; 東北日本海側 80ミリ
2026-09-18T20:30:00Z,岩手県気象解説情報（台風第２５号）,24,09/20 06:00,09/21 06:00,False,3,80.0,内陸 80ミリ; 沿岸北部 60ミリ; 沿岸南部 60ミリ
2026-09-18T20:30:00Z,岩手県気象解説情報（台風第２５号）,24,09/21 06:00,09/22 06:00,True,3,100.0,内陸 100ミリ; 沿岸北部 100ミリ; 沿岸南部 100ミリ
2026-09-18T20:30:00Z,福島県気象解説情報（台風第２５号）,24,09/20 06:00,09/21 06:00,False,3,100.0,中通り 80ミリ; 会津 60ミリ; 浜通り 100ミリ
2026-09-18T20:30:00Z,福島県気象解説情報（台風第２５号）,24,09/21 06:00,09/22 06:00,True,3,150.0,中通り 120ミリ; 会津 80ミリ; 浜通り 150ミリ
2026-09-18T20:30:00Z,宮城県気象解説情報（台風第２５号）,24,09/20 06:00,09/21 06:00,False,2,60.0,東部 60ミリ; 西部 60ミリ
2026-09-18T20:30:00Z,宮城県気象解説情報（台風第２５号）,24,09/21 06:00,09/22 06:00,True,2,120.0,東部 120ミリ; 西部 120ミリ
2026-09-18T20:39:00Z,全般気象解説情報（台風第２５号）,24,09/19 06:00,09/20 06:00,False,2,120.0,伊豆諸島 120ミリ; 関東地方 80ミリ
2026-09-18T20:39:00Z,全般気象解説情報（台風第２５号）,24,09/20 06:00,09/21 06:00,True,4,200.0,伊豆諸島 200ミリ; 東北地方 100ミリ; 東海地方 200ミリ; 関東地方 200ミリ
2026-09-18T20:39:00Z,全般気象解説情報（台風第２５号）,24,09/21 06:00,09/22 06:00,True,4,300.0,伊豆諸島 300ミリ; 東北地方 150ミリ; 東海地方 200ミリ; 関東地方 300ミリ
2026-09-18T20:39:00Z,東海地方気象解説情報（台風第２５号）,1,,,False,1,50.0,静岡県 50ミリ
2026-09-18T20:39:00Z,東海地方気象解説情報（台風第２５号）,24,09/20 06:00,09/21 06:00,False,1,200.0,静岡県 200ミリ
2026-09-18T20:39:00Z,東海地方気象解説情報（台風第２５号）,24,09/21 06:00,09/22 06:00,True,1,200.0,静岡県 200ミリ
2026-09-18T21:08:00Z,関東甲信地方気象解説情報（台風第２５号）,1,,,False,1,30.0,伊豆諸島 30ミリ
2026-09-18T21:08:00Z,関東甲信地方気象解説情報（台風第２５号）,1,,,False,4,40.0,伊豆諸島 40ミリ; 甲信地方 30ミリ; 関東地方北部 40ミリ; 関東地方南部 40ミリ
2026-09-18T21:08:00Z,関東甲信地方気象解説情報（台風第２５号）,24,09/19 06:00,09/20 06:00,False,2,120.0,伊豆諸島 120ミリ; 関東地方南部 80ミリ
2026-09-18T21:08:00Z,関東甲信地方気象解説情報（台風第２５号）,24,09/20 06:00,09/21 06:00,True,4,200.0,伊豆諸島 200ミリ; 甲信地方 150ミリ; 関東地方北部 150ミリ; 関東地方南部 200ミリ
2026-09-18T21:08:00Z,関東甲信地方気象解説情報（台風第２５号）,24,09/21 06:00,09/22 06:00,True,4,300.0,伊豆諸島 300ミリ; 甲信地方 150ミリ; 関東地方北部 200ミリ; 関東地方南部 300ミリ
2026-09-18T21:12:00Z,群馬県気象解説情報（台風第２５号）,1,,,False,2,40.0,北部 40ミリ; 南部 40ミリ
2026-09-18T21:12:00Z,群馬県気象解説情報（台風第２５号）,24,09/20 06:00,09/21 06:00,False,2,120.0,北部 120ミリ; 南部 120ミリ
2026-09-18T21:12:00Z,群馬県気象解説情報（台風第２５号）,24,09/21 06:00,09/22 06:00,True,2,120.0,北部 120ミリ; 南部 120ミリ
2026-09-18T21:25:00Z,静岡県気象解説情報（台風第２５号）,1,,,False,4,50.0,中部 40ミリ; 伊豆 50ミリ; 東部 50ミリ; 西部 30ミリ
2026-09-18T21:25:00Z,静岡県気象解説情報（台風第２５号）,24,09/20 06:00,09/21 06:00,False,4,200.0,中部 100ミリ; 伊豆 200ミリ; 東部 200ミリ; 西部 80ミリ
2026-09-18T21:25:00Z,静岡県気象解説情報（台風第２５号）,24,09/21 06:00,09/22 06:00,True,4,200.0,中部 100ミリ; 伊豆 200ミリ; 東部 200ミリ; 西部 80ミリ
2026-09-18T21:29:00Z,栃木県気象解説情報（台風第２５号）,1,,,False,2,40.0,北部 40ミリ; 南部 40ミリ
2026-09-18T21:29:00Z,栃木県気象解説情報（台風第２５号）,24,09/20 06:00,09/21 06:00,False,2,120.0,北部 120ミリ; 南部 120ミリ
2026-09-18T21:29:00Z,栃木県気象解説情報（台風第２５号）,24,09/21 06:00,09/22 06:00,True,2,150.0,北部 150ミリ; 南部 150ミリ
2026-09-18T21:33:00Z,茨城県気象解説情報（台風第２５号）,1,,,False,2,40.0,北部 40ミリ; 南部 40ミリ
2026-09-18T21:33:00Z,茨城県気象解説情報（台風第２５号）,24,09/20 06:00,09/21 06:00,False,2,150.0,北部 150ミリ; 南部 150ミリ
2026-09-18T21:33:00Z,茨城県気象解説情報（台風第２５号）,24,09/21 06:00,09/22 06:00,True,2,200.0,北部 200ミリ; 南部 200ミリ
2026-09-18T21:33:00Z,神奈川県気象解説情報（台風第２５号）,1,,,False,2,30.0,東部 30ミリ; 西部 30ミリ
2026-09-18T21:33:00Z,神奈川県気象解説情報（台風第２５号）,24,09/20 06:00,09/21 06:00,False,2,150.0,東部 120ミリ; 西部 150ミリ
2026-09-18T21:33:00Z,神奈川県気象解説情報（台風第２５号）,24,09/21 06:00,09/22 06:00,True,2,150.0,東部 150ミリ; 西部 150ミリ
2026-09-18T21:35:00Z,東京都気象解説情報（台風第２５号）,1,,,False,2,30.0,伊豆諸島北部 30ミリ; 伊豆諸島南部 30ミリ
2026-09-18T21:35:00Z,東京都気象解説情報（台風第２５号）,1,,,False,3,40.0,伊豆諸島北部 40ミリ; 伊豆諸島南部 40ミリ; 東京地方 40ミリ
2026-09-18T21:35:00Z,東京都気象解説情報（台風第２５号）,24,09/19 06:00,09/20 06:00,False,2,120.0,伊豆諸島北部 80ミリ; 伊豆諸島南部 120ミリ
2026-09-18T21:35:00Z,東京都気象解説情報（台風第２５号）,24,09/20 06:00,09/21 06:00,True,3,200.0,伊豆諸島北部 200ミリ; 伊豆諸島南部 200ミリ; 東京地方 150ミリ
2026-09-18T21:35:00Z,東京都気象解説情報（台風第２５号）,24,09/21 06:00,09/22 06:00,True,3,300.0,伊豆諸島北部 300ミリ; 伊豆諸島南部 300ミリ; 東京地方 200ミリ
2026-09-18T21:43:00Z,埼玉県気象解説情報（台風第２５号）,1,,,False,3,40.0,北部 40ミリ; 南部 40ミリ; 秩父地方 40ミリ
2026-09-18T21:43:00Z,埼玉県気象解説情報（台風第２５号）,24,09/20 06:00,09/21 06:00,False,3,120.0,北部 120ミリ; 南部 120ミリ; 秩父地方 120ミリ
2026-09-18T21:43:00Z,埼玉県気象解説情報（台風第２５号）,24,09/21 06:00,09/22 06:00,True,3,200.0,北部 200ミリ; 南部 200ミリ; 秩父地方 200ミリ
2026-09-18T21:53:00Z,長野県気象解説情報（台風第２５号）,24,09/20 06:00,09/21 06:00,False,3,80.0,中部 80ミリ; 北部 50ミリ; 南部 80ミリ
2026-09-18T21:53:00Z,長野県気象解説情報（台風第２５号）,24,09/21 06:00,09/22 06:00,True,3,80.0,中部 80ミリ; 北部 80ミリ; 南部 60ミリ
2026-09-18T22:06:00Z,山梨県気象解説情報（台風第２５号）,1,,,False,5,30.0,中北地域 30ミリ; 富士五湖 30ミリ; 峡南地域 30ミリ; 峡東地域 30ミリ; 東部 30ミリ
2026-09-18T22:06:00Z,山梨県気象解説情報（台風第２５号）,24,09/20 06:00,09/21 06:00,False,5,150.0,中北地域 100ミリ; 富士五湖 150ミリ; 峡南地域 120ミリ; 峡東地域 100ミリ; 東部 150ミリ
2026-09-18T22:06:00Z,山梨県気象解説情報（台風第２５号）,24,09/21 06:00,09/22 06:00,True,5,150.0,中北地域 100ミリ; 富士五湖 150ミリ; 峡南地域 120ミリ; 峡東地域 100ミリ; 東部 150ミリ
2026-09-18T22:31:00Z,千葉県気象解説情報（台風第２５号）,1,,,False,3,40.0,北東部 40ミリ; 北西部 40ミリ; 南部 40ミリ
2026-09-18T22:31:00Z,千葉県気象解説情報（台風第２５号）,24,09/20 06:00,09/21 06:00,False,3,200.0,北東部 200ミリ; 北西部 200ミリ; 南部 200ミリ
2026-09-18T22:31:00Z,千葉県気象解説情報（台風第２５号）,24,09/21 06:00,09/22 06:00,True,3,300.0,北東部 300ミリ; 北西部 300ミリ; 南部 300ミリ
2026-09-19T07:07:00Z,埼玉県気象解説情報（台風第２５号）,1,,,False,3,40.0,北部 40ミリ; 南部 40ミリ; 秩父地方 40ミリ
2026-09-19T07:07:00Z,埼玉県気象解説情報（台風第２５号）,24,09/19 18:00,09/20 18:00,False,3,80.0,北部 80ミリ; 南部 80ミリ; 秩父地方 80ミリ
2026-09-19T07:07:00Z,埼玉県気象解説情報（台風第２５号）,24,09/20 18:00,09/21 18:00,True,3,150.0,北部 150ミリ; 南部 150ミリ; 秩父地方 150ミリ
2026-09-19T07:07:00Z,埼玉県気象解説情報（台風第２５号）,24,09/21 18:00,09/22 18:00,True,3,150.0,北部 150ミリ; 南部 150ミリ; 秩父地方 150ミリ
2026-09-19T07:22:00Z,東海地方気象解説情報（台風第２５号）,1,,,False,1,40.0,静岡県 40ミリ
2026-09-19T07:22:00Z,東海地方気象解説情報（台風第２５号）,24,09/19 18:00,09/20 18:00,False,1,120.0,静岡県 120ミリ
2026-09-19T07:22:00Z,東海地方気象解説情報（台風第２５号）,24,09/20 18:00,09/21 18:00,True,1,300.0,静岡県 300ミリ
2026-09-19T07:22:00Z,東海地方気象解説情報（台風第２５号）,24,09/21 18:00,09/22 18:00,True,1,150.0,静岡県 150ミリ
2026-09-19T07:28:00Z,関東甲信地方気象解説情報（台風第２５号）,1,,,False,1,30.0,伊豆諸島 30ミリ
2026-09-19T07:28:00Z,関東甲信地方気象解説情報（台風第２５号）,1,,,False,4,40.0,伊豆諸島 40ミリ; 甲信地方 30ミリ; 関東地方北部 40ミリ; 関東地方南部 40ミリ
2026-09-19T07:28:00Z,関東甲信地方気象解説情報（台風第２５号）,24,09/19 18:00,09/20 18:00,False,3,150.0,伊豆諸島 150ミリ; 関東地方北部 100ミリ; 関東地方南部 150ミリ
2026-09-19T07:28:00Z,関東甲信地方気象解説情報（台風第２５号）,24,09/20 18:00,09/21 18:00,True,4,300.0,伊豆諸島 300ミリ; 甲信地方 150ミリ; 関東地方北部 150ミリ; 関東地方南部 300ミリ
2026-09-19T07:28:00Z,関東甲信地方気象解説情報（台風第２５号）,24,09/21 18:00,09/22 18:00,True,4,200.0,伊豆諸島 120ミリ; 甲信地方 120ミリ; 関東地方北部 200ミリ; 関東地方南部 200ミリ
2026-09-19T07:28:00Z,東北地方気象解説情報（台風第２５号）,24,09/20 18:00,09/21 18:00,False,2,120.0,東北太平洋側 120ミリ; 東北日本海側 60ミリ
2026-09-19T07:28:00Z,東北地方気象解説情報（台風第２５号）,24,09/21 18:00,09/22 18:00,True,2,200.0,東北太平洋側 200ミリ; 東北日本海側 80ミリ
2026-09-19T07:32:00Z,長野県気象解説情報（台風第２５号）,24,09/20 18:00,09/21 18:00,False,3,60.0,中部 60ミリ; 北部 50ミリ; 南部 50ミリ
2026-09-19T07:32:00Z,長野県気象解説情報（台風第２５号）,24,09/21 18:00,09/22 18:00,True,3,100.0,中部 100ミリ; 北部 80ミリ; 南部 60ミリ
2026-09-19T07:45:00Z,全般気象解説情報（台風第２５号）,24,09/19 18:00,09/20 18:00,False,3,150.0,伊豆諸島 150ミリ; 東海地方 120ミリ; 関東地方 150ミリ
2026-09-19T07:45:00Z,全般気象解説情報（台風第２５号）,24,09/20 18:00,09/21 18:00,True,4,300.0,伊豆諸島 300ミリ; 東北地方 120ミリ; 東海地方 300ミリ; 関東地方 300ミリ
2026-09-19T07:45:00Z,全般気象解説情報（台風第２５号）,24,09/21 18:00,09/22 18:00,True,4,200.0,伊豆諸島 120ミリ; 東北地方 200ミリ; 東海地方 150ミリ; 関東地方 200ミリ
2026-09-19T07:49:00Z,群馬県気象解説情報（台風第２５号）,1,,,False,2,30.0,北部 30ミリ; 南部 30ミリ
2026-09-19T07:49:00Z,群馬県気象解説情報（台風第２５号）,24,09/19 18:00,09/20 18:00,False,2,60.0,北部 60ミリ; 南部 60ミリ
2026-09-19T07:49:00Z,群馬県気象解説情報（台風第２５号）,24,09/20 18:00,09/21 18:00,True,2,120.0,北部 120ミリ; 南部 120ミリ
2026-09-19T07:49:00Z,群馬県気象解説情報（台風第２５号）,24,09/21 18:00,09/22 18:00,True,2,120.0,北部 120ミリ; 南部 120ミリ
2026-09-19T07:51:00Z,岩手県気象解説情報（台風第２５号）,24,09/20 18:00,09/21 18:00,False,3,50.0,内陸 50ミリ; 沿岸北部 50ミリ; 沿岸南部 50ミリ
2026-09-19T07:51:00Z,岩手県気象解説情報（台風第２５号）,24,09/21 18:00,09/22 18:00,True,3,80.0,内陸 80ミリ; 沿岸北部 80ミリ; 沿岸南部 80ミリ
2026-09-19T07:51:00Z,福島県気象解説情報（台風第２５号）,24,09/20 18:00,09/21 18:00,False,3,120.0,中通り 100ミリ; 会津 60ミリ; 浜通り 120ミリ
2026-09-19T07:51:00Z,福島県気象解説情報（台風第２５号）,24,09/21 18:00,09/22 18:00,True,3,200.0,中通り 150ミリ; 会津 80ミリ; 浜通り 200ミリ
2026-09-19T07:55:00Z,宮城県気象解説情報（台風第２５号）,24,09/20 18:00,09/21 18:00,False,2,100.0,東部 100ミリ; 西部 100ミリ
2026-09-19T07:55:00Z,宮城県気象解説情報（台風第２５号）,24,09/21 18:00,09/22 18:00,True,2,150.0,東部 150ミリ; 西部 150ミリ
2026-09-19T07:56:00Z,山梨県気象解説情報（台風第２５号）,1,,,False,5,30.0,中北地域 30ミリ; 富士五湖 30ミリ; 峡南地域 30ミリ; 峡東地域 30ミリ; 東部 30ミリ
2026-09-19T07:56:00Z,山梨県気象解説情報（台風第２５号）,24,09/20 18:00,09/21 18:00,False,5,150.0,中北地域 120ミリ; 富士五湖 150ミリ; 峡南地域 120ミリ; 峡東地域 120ミリ; 東部 150ミリ
2026-09-19T07:56:00Z,山梨県気象解説情報（台風第２５号）,24,09/21 18:00,09/22 18:00,True,5,120.0,中北地域 80ミリ; 富士五湖 120ミリ; 峡南地域 80ミリ; 峡東地域 80ミリ; 東部 120ミリ
2026-09-19T07:57:00Z,神奈川県気象解説情報（台風第２５号）,1,,,False,2,30.0,東部 30ミリ; 西部 30ミリ
