site,lead_h,stamp_utc,stamp_jst,rain_mm_h,anchored_mm_h
三宅島,0.0,2026-09-20T23:00:00Z,09/21 08:00,5.09,25.22
三宅島,1.0,2026-09-21T00:00:00Z,09/21 09:00,6.06,30.03
三宅島,2.0,2026-09-21T01:00:00Z,09/21 10:00,4.95,24.5
三宅島,3.0,2026-09-21T02:00:00Z,09/21 11:00,4.36,21.58
三宅島,4.0,2026-09-21T03:00:00Z,09/21 12:00,3.35,16.59
三宅島,5.0,2026-09-21T04:00:00Z,09/21 13:00,2.91,14.41
三宅島,6.0,2026-09-21T05:00:00Z,09/21 14:00,2.59,12.84
三宅島,7.0,2026-09-21T06:00:00Z,09/21 15:00,2.34,11.57
三宅島,8.0,2026-09-21T07:00:00Z,09/21 16:00,1.92,9.5
三宅島,9.0,2026-09-21T08:00:00Z,09/21 17:00,1.58,7.83
三宅島,10.0,2026-09-21T09:00:00Z,09/21 18:00,1.29,6.39
三宅島,11.0,2026-09-21T10:00:00Z,09/21 19:00,1.06,5.27
三宅島,12.0,2026-09-21T11:00:00Z,09/21 20:00,0.89,4.43
三宅島,13.0,2026-09-21T12:00:00Z,09/21 21:00,0.74,3.68
三宅島,14.0,2026-09-21T13:00:00Z,09/21 22:00,0.61,3.02
三宅島,15.0,2026-09-21T14:00:00Z,09/21 23:00,0.5,2.5
三宅島,16.0,2026-09-21T15:00:00Z,09/22 00:00,0.43,2.11
三宅島,17.0,2026-09-21T16:00:00Z,09/22 01:00,0.34,1.69
三宅島,18.0,2026-09-21T17:00:00Z,09/22 02:00,0.27,1.36
三宅島,19.0,2026-09-21T18:00:00Z,09/22 03:00,0.21,1.06
三宅島,20.0,2026-09-21T19:00:00Z,09/22 04:00,0.17,0.83
三宅島,21.0,2026-09-21T20:00:00Z,09/22 05:00,0.13,0.65
三宅島,22.0,2026-09-21T21:00:00Z,09/22 06:00,0.11,0.54
三宅島,23.0,2026-09-21T22:00:00Z,09/22 07:00,0.08,0.41
三宅島,24.0,2026-09-21T23:00:00Z,09/22 08:00,0.06,0.32
三宅島,25.0,2026-09-22T00:00:00Z,09/22 09:00,0.05,0.24
三宅島,26.0,2026-09-22T01:00:00Z,09/22 10:00,0.04,0.18
三宅島,27.0,2026-09-22T02:00:00Z,09/22 11:00,0.03,0.13
三宅島,28.0,2026-09-22T03:00:00Z,09/22 12:00,0.02,0.1
三宅島,29.0,2026-09-22T04:00:00Z,09/22 13:00,0.01,0.07
三宅島,30.0,2026-09-22T05:00:00Z,09/22 14:00,0.01,0.05
三宅島,31.0,2026-09-22T06:00:00Z,09/22 15:00,0.01,0.04
三宅島,32.0,2026-09-22T07:00:00Z,09/22 16:00,0.01,0.03
三宅島,33.0,2026-09-22T08:00:00Z,09/22 17:00,0.0,0.02
三宅島,34.0,2026-09-22T09:00:00Z,09/22 18:00,0.0,0.02
三宅島,35.0,2026-09-22T10:00:00Z,09/22 19:00,0.0,0.01
三宅島,36.0,2026-09-22T11:00:00Z,09/22 20:00,0.0,0.01
三宅島,37.0,2026-09-22T12:00:00Z,09/22 21:00,0.0,0.01
三宅島,38.0,2026-09-22T13:00:00Z,09/22 22:00,0.0,0.01
三宅島,39.0,2026-09-22T14:00:00Z,09/22 23:00,0.0,0.0
三宅島,40.0,2026-09-22T15:00:00Z,09/23 00:00,0.0,0.0
三宅島,41.0,2026-09-22T16:00:00Z,09/23 01:00,0.0,0.0
三宅島,42.0,2026-09-22T17:00:00Z,09/23 02:00,0.0,0.0
三宅島,43.0,2026-09-22T18:00:00Z,09/23 03:00,0.0,0.0
三宅島,44.0,2026-09-22T19:00:00Z,09/23 04:00,0.0,0.0
三宅島,45.0,2026-09-22T20:00:00Z,09/23 05:00,0.0,0.0
三宅島,46.0,2026-09-22T21:00:00Z,09/23 06:00,0.0,0.0
三宅島,47.0,2026-09-22T22:00:00Z,09/23 07:00,0.0,0.0
三宅島,48.0,2026-09-22T23:00:00Z,09/23 08:00,0.0,0.0
三宅島,49.0,2026-09-23T00:00:00Z,09/23 09:00,0.0,0.0
三宅島,50.0,2026-09-23T01:00:00Z,09/23 10:00,0.0,0.0
三宅島,51.0,2026-09-23T02:00:00Z,09/23 11:00,0.0,0.0
三宅島,52.0,2026-09-23T03:00:00Z,09/23 12:00,0.0,0.0
三宅島,53.0,2026-09-23T04:00:00Z,09/23 13:00,0.0,0.0
三宅島,54.0,2026-09-23T05:00:00Z,09/23 14:00,0.0,0.0
三宅島,55.0,2026-09-23T06:00:00Z,09/23 15:00,0.0,0.0
三宅島,56.0,2026-09-23T07:00:00Z,09/23 16:00,0.0,0.0
三宅島,57.0,2026-09-23T08:00:00Z,09/23 17:00,0.0,0.0
三宅島,58.0,2026-09-23T09:00:00Z,09/23 18:00,0.0,0.0
三宅島,59.0,2026-09-23T10:00:00Z,09/23 19:00,0.0,0.0
三宅島,60.0,2026-09-23T11:00:00Z,09/23 20:00,0.0,0.0
三宅島,61.0,2026-09-23T12:00:00Z,09/23 21:00,0.0,0.0
三宅島,62.0,2026-09-23T13:00:00Z,09/23 22:00,0.0,0.0
三宅島,63.0,2026-09-23T14:00:00Z,09/23 23:00,0.0,0.0
三宅島,64.0,2026-09-23T15:00:00Z,09/24 00:00,0.0,0.0
三宅島,65.0,2026-09-23T16:00:00Z,09/24 01:00,0.0,0.0
三宅島,66.0,2026-09-23T17:00:00Z,09/24 02:00,0.0,0.0
三宅島,67.0,2026-09-23T18:00:00Z,09/24 03:00,0.0,0.0
三宅島,68.0,2026-09-23T19:00:00Z,09/24 04:00,0.0,0.0
三宅島,69.0,2026-09-23T20:00:00Z,09/24 05:00,0.0,0.0
三宅島,70.0,2026-09-23T21:00:00Z,09/24 06:00,0.0,0.0
三宅島,71.0,2026-09-23T22:00:00Z,09/24 07:00,0.0,0.0
三宅島,72.0,2026-09-23T23:00:00Z,09/24 08:00,0.0,0.0
仙台,0.0,2026-09-20T23:00:00Z,09/21 08:00,2.59,7.37
仙台,1.0,2026-09-21T00:00:00Z,09/21 09:00,0.92,2.61
仙台,2.0,2026-09-21T01:00:00Z,09/21 10:00,1.13,3.2
仙台,3.0,2026-09-21T02:00:00Z,09/21 11:00,1.25,3.55
仙台,4.0,2026-09-21T03:00:00Z,09/21 12:00,2.36,6.71
仙台,5.0,2026-09-21T04:00:00Z,09/21 13:00,2.23,6.33
仙台,6.0,2026-09-21T05:00:00Z,09/21 14:00,2.35,6.69
仙台,7.0,2026-09-21T06:00:00Z,09/21 15:00,1.79,5.09
仙台,8.0,2026-09-21T07:00:00Z,09/21 16:00,1.66,4.71
仙台,9.0,2026-09-21T08:00:00Z,09/21 17:00,1.71,4.87
仙台,10.0,2026-09-21T09:00:00Z,09/21 18:00,1.87,5.31
仙台,11.0,2026-09-21T10:00:00Z,09/21 19:00,1.71,4.87
仙台,12.0,2026-09-21T11:00:00Z,09/21 20:00,1.65,4.68
仙台,13.0,2026-09-21T12:00:00Z,09/21 21:00,1.57,4.47
仙台,14.0,2026-09-21T13:00:00Z,09/21 22:00,1.34,3.82
仙台,15.0,2026-09-21T14:00:00Z,09/21 23:00,1.21,3.44
仙台,16.0,2026-09-21T15:00:00Z,09/22 00:00,1.08,3.07
仙台,17.0,2026-09-21T16:00:00Z,09/22 01:00,0.85,2.42
仙台,18.0,2026-09-21T17:00:00Z,09/22 02:00,0.71,2.01
仙台,19.0,2026-09-21T18:00:00Z,09/22 03:00,0.57,1.61
仙台,20.0,2026-09-21T19:00:00Z,09/22 04:00,0.41,1.16
仙台,21.0,2026-09-21T20:00:00Z,09/22 05:00,0.33,0.93
仙台,22.0,2026-09-21T21:00:00Z,09/22 06:00,0.27,0.76
仙台,23.0,2026-09-21T22:00:00Z,09/22 07:00,0.19,0.53
仙台,24.0,2026-09-21T23:00:00Z,09/22 08:00,0.15,0.41
仙台,25.0,2026-09-22T00:00:00Z,09/22 09:00,0.11,0.31
仙台,26.0,2026-09-22T01:00:00Z,09/22 10:00,0.08,0.23
仙台,27.0,2026-09-22T02:00:00Z,09/22 11:00,0.06,0.17
仙台,28.0,2026-09-22T03:00:00Z,09/22 12:00,0.05,0.13
仙台,29.0,2026-09-22T04:00:00Z,09/22 13:00,0.04,0.1
仙台,30.0,2026-09-22T05:00:00Z,09/22 14:00,0.03,0.08
仙台,31.0,2026-09-22T06:00:00Z,09/22 15:00,0.02,0.06
仙台,32.0,2026-09-22T07:00:00Z,09/22 16:00,0.02,0.04
仙台,33.0,2026-09-22T08:00:00Z,09/22 17:00,0.01,0.03
仙台,34.0,2026-09-22T09:00:00Z,09/22 18:00,0.01,0.02
仙台,35.0,2026-09-22T10:00:00Z,09/22 19:00,0.01,0.02
仙台,36.0,2026-09-22T11:00:00Z,09/22 20:00,0.0,0.01
仙台,37.0,2026-09-22T12:00:00Z,09/22 21:00,0.0,0.01
仙台,38.0,2026-09-22T13:00:00Z,09/22 22:00,0.0,0.01
仙台,39.0,2026-09-22T14:00:00Z,09/22 23:00,0.0,0.01
仙台,40.0,2026-09-22T15:00:00Z,09/23 00:00,0.0,0.0
仙台,41.0,2026-09-22T16:00:00Z,09/23 01:00,0.0,0.0
仙台,42.0,2026-09-22T17:00:00Z,09/23 02:00,0.0,0.0
仙台,43.0,2026-09-22T18:00:00Z,09/23 03:00,0.0,0.0
仙台,44.0,2026-09-22T19:00:00Z,09/23 04:00,0.0,0.0
仙台,45.0,2026-09-22T20:00:00Z,09/23 05:00,0.0,0.0
仙台,46.0,2026-09-22T21:00:00Z,09/23 06:00,0.0,0.0
仙台,47.0,2026-09-22T22:00:00Z,09/23 07:00,0.0,0.0
仙台,48.0,2026-09-22T23:00:00Z,09/23 08:00,0.0,0.0
仙台,49.0,2026-09-23T00:00:00Z,09/23 09:00,0.0,0.0
仙台,50.0,2026-09-23T01:00:00Z,09/23 10:00,0.0,0.0
仙台,51.0,2026-09-23T02:00:00Z,09/23 11:00,0.0,0.0
仙台,52.0,2026-09-23T03:00:00Z,09/23 12:00,0.0,0.0
仙台,53.0,2026-09-23T04:00:00Z,09/23 13:00,0.0,0.0
仙台,54.0,2026-09-23T05:00:00Z,09/23 14:00,0.0,0.0
仙台,55.0,2026-09-23T06:00:00Z,09/23 15:00,0.0,0.0
仙台,56.0,2026-09-23T07:00:00Z,09/23 16:00,0.0,0.0
仙台,57.0,2026-09-23T08:00:00Z,09/23 17:00,0.0,0.0
仙台,58.0,2026-09-23T09:00:00Z,09/23 18:00,0.0,0.0
仙台,59.0,2026-09-23T10:00:00Z,09/23 19:00,0.0,0.0
仙台,60.0,2026-09-23T11:00:00Z,09/23 20:00,0.0,0.0
仙台,61.0,2026-09-23T12:00:00Z,09/23 21:00,0.0,0.0
仙台,62.0,2026-09-23T13:00:00Z,09/23 22:00,0.0,0.0
仙台,63.0,2026-09-23T14:00:00Z,09/23 23:00,0.0,0.0
仙台,64.0,2026-09-23T15:00:00Z,09/24 00:00,0.0,0.0
仙台,65.0,2026-09-23T16:00:00Z,09/24 01:00,0.0,0.0
仙台,66.0,2026-09-23T17:00:00Z,09/24 02:00,0.0,0.0
仙台,67.0,2026-09-23T18:00:00Z,09/24 03:00,0.0,0.0
仙台,68.0,2026-09-23T19:00:00Z,09/24 04:00,0.0,0.0
仙台,69.0,2026-09-23T20:00:00Z,09/24 05:00,0.0,0.0
仙台,70.0,2026-09-23T21:00:00Z,09/24 06:00,0.0,0.0
仙台,71.0,2026-09-23T22:00:00Z,09/24 07:00,0.0,0.0
仙台,72.0,2026-09-23T23:00:00Z,09/24 08:00,0.0,0.0
八丈島,0.0,2026-09-20T23:00:00Z,09/21 08:00,3.38,24.18
八丈島,1.0,2026-09-21T00:00:00Z,09/21 09:00,4.19,29.99
八丈島,2.0,2026-09-21T01:00:00Z,09/21 10:00,3.48,24.95
八丈島,3.0,2026-09-21T02:00:00Z,09/21 11:00,3.05,21.87
八丈島,4.0,2026-09-21T03:00:00Z,09/21 12:00,2.51,17.96
八丈島,5.0,2026-09-21T04:00:00Z,09/21 13:00,2.27,16.27
八丈島,6.0,2026-09-21T05:00:00Z,09/21 14:00,2.02,14.45
八丈島,7.0,2026-09-21T06:00:00Z,09/21 15:00,1.75,12.5
八丈島,8.0,2026-09-21T07:00:00Z,09/21 16:00,1.55,11.11
八丈島,9.0,2026-09-21T08:00:00Z,09/21 17:00,1.34,9.63
八丈島,10.0,2026-09-21T09:00:00Z,09/21 18:00,1.15,8.26
八丈島,11.0,2026-09-21T10:00:00Z,09/21 19:00,0.98,7.01
八丈島,12.0,2026-09-21T11:00:00Z,09/21 20:00,0.82,5.9
八丈島,13.0,2026-09-21T12:00:00Z,09/21 21:00,0.68,4.86
八丈島,14.0,2026-09-21T13:00:00Z,09/21 22:00,0.56,4.04
八丈島,15.0,2026-09-21T14:00:00Z,09/21 23:00,0.46,3.33
八丈島,16.0,2026-09-21T15:00:00Z,09/22 00:00,0.4,2.84
八丈島,17.0,2026-09-21T16:00:00Z,09/22 01:00,0.32,2.3
八丈島,18.0,2026-09-21T17:00:00Z,09/22 02:00,0.26,1.85
八丈島,19.0,2026-09-21T18:00:00Z,09/22 03:00,0.2,1.44
八丈島,20.0,2026-09-21T19:00:00Z,09/22 04:00,0.16,1.14
八丈島,21.0,2026-09-21T20:00:00Z,09/22 05:00,0.12,0.9
八丈島,22.0,2026-09-21T21:00:00Z,09/22 06:00,0.11,0.76
八丈島,23.0,2026-09-21T22:00:00Z,09/22 07:00,0.08,0.59
八丈島,24.0,2026-09-21T23:00:00Z,09/22 08:00,0.06,0.45
八丈島,25.0,2026-09-22T00:00:00Z,09/22 09:00,0.05,0.34
八丈島,26.0,2026-09-22T01:00:00Z,09/22 10:00,0.04,0.25
八丈島,27.0,2026-09-22T02:00:00Z,09/22 11:00,0.03,0.19
八丈島,28.0,2026-09-22T03:00:00Z,09/22 12:00,0.02,0.14
八丈島,29.0,2026-09-22T04:00:00Z,09/22 13:00,0.01,0.11
八丈島,30.0,2026-09-22T05:00:00Z,09/22 14:00,0.01,0.08
八丈島,31.0,2026-09-22T06:00:00Z,09/22 15:00,0.01,0.06
八丈島,32.0,2026-09-22T07:00:00Z,09/22 16:00,0.01,0.04
八丈島,33.0,2026-09-22T08:00:00Z,09/22 17:00,0.0,0.03
八丈島,34.0,2026-09-22T09:00:00Z,09/22 18:00,0.0,0.02
八丈島,35.0,2026-09-22T10:00:00Z,09/22 19:00,0.0,0.02
八丈島,36.0,2026-09-22T11:00:00Z,09/22 20:00,0.0,0.01
八丈島,37.0,2026-09-22T12:00:00Z,09/22 21:00,0.0,0.01
八丈島,38.0,2026-09-22T13:00:00Z,09/22 22:00,0.0,0.01
八丈島,39.0,2026-09-22T14:00:00Z,09/22 23:00,0.0,0.01
八丈島,40.0,2026-09-22T15:00:00Z,09/23 00:00,0.0,0.0
八丈島,41.0,2026-09-22T16:00:00Z,09/23 01:00,0.0,0.0
八丈島,42.0,2026-09-22T17:00:00Z,09/23 02:00,0.0,0.0
八丈島,43.0,2026-09-22T18:00:00Z,09/23 03:00,0.0,0.0
八丈島,44.0,2026-09-22T19:00:00Z,09/23 04:00,0.0,0.0
八丈島,45.0,2026-09-22T20:00:00Z,09/23 05:00,0.0,0.0
八丈島,46.0,2026-09-22T21:00:00Z,09/23 06:00,0.0,0.0
八丈島,47.0,2026-09-22T22:00:00Z,09/23 07:00,0.0,0.0
八丈島,48.0,2026-09-22T23:00:00Z,09/23 08:00,0.0,0.0
八丈島,49.0,2026-09-23T00:00:00Z,09/23 09:00,0.0,0.0
八丈島,50.0,2026-09-23T01:00:00Z,09/23 10:00,0.0,0.0
八丈島,51.0,2026-09-23T02:00:00Z,09/23 11:00,0.0,0.0
八丈島,52.0,2026-09-23T03:00:00Z,09/23 12:00,0.0,0.0
八丈島,53.0,2026-09-23T04:00:00Z,09/23 13:00,0.0,0.0
八丈島,54.0,2026-09-23T05:00:00Z,09/23 14:00,0.0,0.0
八丈島,55.0,2026-09-23T06:00:00Z,09/23 15:00,0.0,0.0
八丈島,56.0,2026-09-23T07:00:00Z,09/23 16:00,0.0,0.0
八丈島,57.0,2026-09-23T08:00:00Z,09/23 17:00,0.0,0.0
八丈島,58.0,2026-09-23T09:00:00Z,09/23 18:00,0.0,0.0
八丈島,59.0,2026-09-23T10:00:00Z,09/23 19:00,0.0,0.0
八丈島,60.0,2026-09-23T11:00:00Z,09/23 20:00,0.0,0.0
八丈島,61.0,2026-09-23T12:00:00Z,09/23 21:00,0.0,0.0
八丈島,62.0,2026-09-23T13:00:00Z,09/23 22:00,0.0,0.0
八丈島,63.0,2026-09-23T14:00:00Z,09/23 23:00,0.0,0.0
八丈島,64.0,2026-09-23T15:00:00Z,09/24 00:00,0.0,0.0
八丈島,65.0,2026-09-23T16:00:00Z,09/24 01:00,0.0,0.0
八丈島,66.0,2026-09-23T17:00:00Z,09/24 02:00,0.0,0.0
八丈島,67.0,2026-09-23T18:00:00Z,09/24 03:00,0.0,0.0
八丈島,68.0,2026-09-23T19:00:00Z,09/24 04:00,0.0,0.0
八丈島,69.0,2026-09-23T20:00:00Z,09/24 05:00,0.0,0.0
八丈島,70.0,2026-09-23T21:00:00Z,09/24 06:00,0.0,0.0
八丈島,71.0,2026-09-23T22:00:00Z,09/24 07:00,0.0,0.0
八丈島,72.0,2026-09-23T23:00:00Z,09/24 08:00,0.0,0.0
千葉,0.0,2026-09-20T23:00:00Z,09/21 08:00,9.44,36.15
千葉,1.0,2026-09-21T00:00:00Z,09/21 09:00,5.25,20.1
千葉,2.0,2026-09-21T01:00:00Z,09/21 10:00,5.47,20.93
千葉,3.0,2026-09-21T02:00:00Z,09/21 11:00,5.53,21.17
千葉,4.0,2026-09-21T03:00:00Z,09/21 12:00,5.15,19.71
千葉,5.0,2026-09-21T04:00:00Z,09/21 13:00,4.29,16.44
千葉,6.0,2026-09-21T05:00:00Z,09/21 14:00,3.96,15.15
千葉,7.0,2026-09-21T06:00:00Z,09/21 15:00,3.72,14.25
千葉,8.0,2026-09-21T07:00:00Z,09/21 16:00,3.0,11.5
千葉,9.0,2026-09-21T08:00:00Z,09/21 17:00,2.64,10.1
千葉,10.0,2026-09-21T09:00:00Z,09/21 18:00,2.21,8.47
千葉,11.0,2026-09-21T10:00:00Z,09/21 19:00,1.79,6.85
千葉,12.0,2026-09-21T11:00:00Z,09/21 20:00,1.48,5.66
千葉,13.0,2026-09-21T12:00:00Z,09/21 21:00,1.19,4.56
千葉,14.0,2026-09-21T13:00:00Z,09/21 22:00,0.93,3.55
千葉,15.0,2026-09-21T14:00:00Z,09/21 23:00,0.75,2.89
千葉,16.0,2026-09-21T15:00:00Z,09/22 00:00,0.62,2.37
千葉,17.0,2026-09-21T16:00:00Z,09/22 01:00,0.49,1.86
千葉,18.0,2026-09-21T17:00:00Z,09/22 02:00,0.39,1.5
千葉,19.0,2026-09-21T18:00:00Z,09/22 03:00,0.31,1.18
千葉,20.0,2026-09-21T19:00:00Z,09/22 04:00,0.23,0.9
千葉,21.0,2026-09-21T20:00:00Z,09/22 05:00,0.19,0.71
千葉,22.0,2026-09-21T21:00:00Z,09/22 06:00,0.15,0.58
千葉,23.0,2026-09-21T22:00:00Z,09/22 07:00,0.11,0.43
千葉,24.0,2026-09-21T23:00:00Z,09/22 08:00,0.09,0.33
千葉,25.0,2026-09-22T00:00:00Z,09/22 09:00,0.06,0.25
千葉,26.0,2026-09-22T01:00:00Z,09/22 10:00,0.05,0.18
千葉,27.0,2026-09-22T02:00:00Z,09/22 11:00,0.04,0.14
千葉,28.0,2026-09-22T03:00:00Z,09/22 12:00,0.03,0.1
千葉,29.0,2026-09-22T04:00:00Z,09/22 13:00,0.02,0.08
千葉,30.0,2026-09-22T05:00:00Z,09/22 14:00,0.02,0.06
千葉,31.0,2026-09-22T06:00:00Z,09/22 15:00,0.01,0.04
千葉,32.0,2026-09-22T07:00:00Z,09/22 16:00,0.01,0.03
千葉,33.0,2026-09-22T08:00:00Z,09/22 17:00,0.01,0.02
千葉,34.0,2026-09-22T09:00:00Z,09/22 18:00,0.0,0.02
千葉,35.0,2026-09-22T10:00:00Z,09/22 19:00,0.0,0.01
千葉,36.0,2026-09-22T11:00:00Z,09/22 20:00,0.0,0.01
千葉,37.0,2026-09-22T12:00:00Z,09/22 21:00,0.0,0.01
千葉,38.0,2026-09-22T13:00:00Z,09/22 22:00,0.0,0.01
千葉,39.0,2026-09-22T14:00:00Z,09/22 23:00,0.0,0.0
千葉,40.0,2026-09-22T15:00:00Z,09/23 00:00,0.0,0.0
千葉,41.0,2026-09-22T16:00:00Z,09/23 01:00,0.0,0.0
千葉,42.0,2026-09-22T17:00:00Z,09/23 02:00,0.0,0.0
千葉,43.0,2026-09-22T18:00:00Z,09/23 03:00,0.0,0.0
千葉,44.0,2026-09-22T19:00:00Z,09/23 04:00,0.0,0.0
千葉,45.0,2026-09-22T20:00:00Z,09/23 05:00,0.0,0.0
千葉,46.0,2026-09-22T21:00:00Z,09/23 06:00,0.0,0.0
千葉,47.0,2026-09-22T22:00:00Z,09/23 07:00,0.0,0.0
千葉,48.0,2026-09-22T23:00:00Z,09/23 08:00,0.0,0.0
千葉,49.0,2026-09-23T00:00:00Z,09/23 09:00,0.0,0.0
千葉,50.0,2026-09-23T01:00:00Z,09/23 10:00,0.0,0.0
千葉,51.0,2026-09-23T02:00:00Z,09/23 11:00,0.0,0.0
千葉,52.0,2026-09-23T03:00:00Z,09/23 12:00,0.0,0.0
千葉,53.0,2026-09-23T04:00:00Z,09/23 13:00,0.0,0.0
千葉,54.0,2026-09-23T05:00:00Z,09/23 14:00,0.0,0.0
千葉,55.0,2026-09-23T06:00:00Z,09/23 15:00,0.0,0.0
千葉,56.0,2026-09-23T07:00:00Z,09/23 16:00,0.0,0.0
千葉,57.0,2026-09-23T08:00:00Z,09/23 17:00,0.0,0.0
千葉,58.0,2026-09-23T09:00:00Z,09/23 18:00,0.0,0.0
千葉,59.0,2026-09-23T10:00:00Z,09/23 19:00,0.0,0.0
千葉,60.0,2026-09-23T11:00:00Z,09/23 20:00,0.0,0.0
千葉,61.0,2026-09-23T12:00:00Z,09/23 21:00,0.0,0.0
千葉,62.0,2026-09-23T13:00:00Z,09/23 22:00,0.0,0.0
千葉,63.0,2026-09-23T14:00:00Z,09/23 23:00,0.0,0.0
千葉,64.0,2026-09-23T15:00:00Z,09/24 00:00,0.0,0.0
千葉,65.0,2026-09-23T16:00:00Z,09/24 01:00,0.0,0.0
千葉,66.0,2026-09-23T17:00:00Z,09/24 02:00,0.0,0.0
千葉,67.0,2026-09-23T18:00:00Z,09/24 03:00,0.0,0.0
千葉,68.0,2026-09-23T19:00:00Z,09/24 04:00,0.0,0.0
千葉,69.0,2026-09-23T20:00:00Z,09/24 05:00,0.0,0.0
千葉,70.0,2026-09-23T21:00:00Z,09/24 06:00,0.0,0.0
千葉,71.0,2026-09-23T22:00:00Z,09/24 07:00,0.0,0.0
千葉,72.0,2026-09-23T23:00:00Z,09/24 08:00,0.0,0.0
大島,0.0,2026-09-20T23:00:00Z,09/21 08:00,7.29,36.13
大島,1.0,2026-09-21T00:00:00Z,09/21 09:00,6.8,33.68
大島,2.0,2026-09-21T01:00:00Z,09/21 10:00,5.84,28.92
大島,3.0,2026-09-21T02:00:00Z,09/21 11:00,5.3,26.27
大島,4.0,2026-09-21T03:00:00Z,09/21 12:00,4.24,21.01
大島,5.0,2026-09-21T04:00:00Z,09/21 13:00,3.59,17.8
大島,6.0,2026-09-21T05:00:00Z,09/21 14:00,3.23,16.01
大島,7.0,2026-09-21T06:00:00Z,09/21 15:00,2.96,14.64
大島,8.0,2026-09-21T07:00:00Z,09/21 16:00,2.36,11.7
大島,9.0,2026-09-21T08:00:00Z,09/21 17:00,1.98,9.82
大島,10.0,2026-09-21T09:00:00Z,09/21 18:00,1.61,7.97
大島,11.0,2026-09-21T10:00:00Z,09/21 19:00,1.28,6.35
大島,12.0,2026-09-21T11:00:00Z,09/21 20:00,1.06,5.24
大島,13.0,2026-09-21T12:00:00Z,09/21 21:00,0.88,4.34
大島,14.0,2026-09-21T13:00:00Z,09/21 22:00,0.71,3.52
大島,15.0,2026-09-21T14:00:00Z,09/21 23:00,0.59,2.91
大島,16.0,2026-09-21T15:00:00Z,09/22 00:00,0.5,2.46
大島,17.0,2026-09-21T16:00:00Z,09/22 01:00,0.39,1.95
大島,18.0,2026-09-21T17:00:00Z,09/22 02:00,0.32,1.58
大島,19.0,2026-09-21T18:00:00Z,09/22 03:00,0.25,1.24
大島,20.0,2026-09-21T19:00:00Z,09/22 04:00,0.19,0.95
大島,21.0,2026-09-21T20:00:00Z,09/22 05:00,0.15,0.75
大島,22.0,2026-09-21T21:00:00Z,09/22 06:00,0.13,0.63
大島,23.0,2026-09-21T22:00:00Z,09/22 07:00,0.1,0.47
大島,24.0,2026-09-21T23:00:00Z,09/22 08:00,0.07,0.36
大島,25.0,2026-09-22T00:00:00Z,09/22 09:00,0.05,0.27
大島,26.0,2026-09-22T01:00:00Z,09/22 10:00,0.04,0.2
大島,27.0,2026-09-22T02:00:00Z,09/22 11:00,0.03,0.15
大島,28.0,2026-09-22T03:00:00Z,09/22 12:00,0.02,0.11
大島,29.0,2026-09-22T04:00:00Z,09/22 13:00,0.02,0.08
大島,30.0,2026-09-22T05:00:00Z,09/22 14:00,0.01,0.06
大島,31.0,2026-09-22T06:00:00Z,09/22 15:00,0.01,0.05
大島,32.0,2026-09-22T07:00:00Z,09/22 16:00,0.01,0.03
大島,33.0,2026-09-22T08:00:00Z,09/22 17:00,0.01,0.03
大島,34.0,2026-09-22T09:00:00Z,09/22 18:00,0.0,0.02
大島,35.0,2026-09-22T10:00:00Z,09/22 19:00,0.0,0.01
大島,36.0,2026-09-22T11:00:00Z,09/22 20:00,0.0,0.01
大島,37.0,2026-09-22T12:00:00Z,09/22 21:00,0.0,0.01
大島,38.0,2026-09-22T13:00:00Z,09/22 22:00,0.0,0.01
大島,39.0,2026-09-22T14:00:00Z,09/22 23:00,0.0,0.0
大島,40.0,2026-09-22T15:00:00Z,09/23 00:00,0.0,0.0
大島,41.0,2026-09-22T16:00:00Z,09/23 01:00,0.0,0.0
大島,42.0,2026-09-22T17:00:00Z,09/23 02:00,0.0,0.0
大島,43.0,2026-09-22T18:00:00Z,09/23 03:00,0.0,0.0
大島,44.0,2026-09-22T19:00:00Z,09/23 04:00,0.0,0.0
大島,45.0,2026-09-22T20:00:00Z,09/23 05:00,0.0,0.0
大島,46.0,2026-09-22T21:00:00Z,09/23 06:00,0.0,0.0
大島,47.0,2026-09-22T22:00:00Z,09/23 07:00,0.0,0.0
大島,48.0,2026-09-22T23:00:00Z,09/23 08:00,0.0,0.0
大島,49.0,2026-09-23T00:00:00Z,09/23 09:00,0.0,0.0
大島,50.0,2026-09-23T01:00:00Z,09/23 10:00,0.0,0.0
大島,51.0,2026-09-23T02:00:00Z,09/23 11:00,0.0,0.0
大島,52.0,2026-09-23T03:00:00Z,09/23 12:00,0.0,0.0
大島,53.0,2026-09-23T04:00:00Z,09/23 13:00,0.0,0.0
大島,54.0,2026-09-23T05:00:00Z,09/23 14:00,0.0,0.0
大島,55.0,2026-09-23T06:00:00Z,09/23 15:00,0.0,0.0
大島,56.0,2026-09-23T07:00:00Z,09/23 16:00,0.0,0.0
大島,57.0,2026-09-23T08:00:00Z,09/23 17:00,0.0,0.0
大島,58.0,2026-09-23T09:00:00Z,09/23 18:00,0.0,0.0
大島,59.0,2026-09-23T10:00:00Z,09/23 19:00,0.0,0.0
大島,60.0,2026-09-23T11:00:00Z,09/23 20:00,0.0,0.0
大島,61.0,2026-09-23T12:00:00Z,09/23 21:00,0.0,0.0
大島,62.0,2026-09-23T13:00:00Z,09/23 22:00,0.0,0.0
