site,area,lead_h,stamp_jst,dist_km,go,breach,n_breach,wind_m_s,gust_m_s,rain_mm_h,visibility_m,lightning_risk,condition,density_kg_m3,prop_factor,extra_cd,margin,v_stall_m_s,alpha_trim_deg
宮古,030020,48.0,09/23 08:00,444.1,False,"wind,gust",2,10.5,15.0,0.0,19992.0,0.0,rain,1.1751,1.0,0.0,7.052,6.67,2.36
宮古,030020,51.0,09/23 11:00,525.3,False,"wind,gust",2,9.5,13.5,0.0,19996.0,0.0,rain,1.1764,1.0,0.0,7.057,6.67,2.36
宮古,030020,54.0,09/23 14:00,608.6,False,"wind,gust",2,8.7,12.4,0.0,19998.0,0.0,rain,1.1775,1.0,0.0,7.061,6.66,2.35
宮古,030020,57.0,09/23 17:00,693.4,False,wind,1,8.0,11.4,0.0,19999.0,0.0,rain,1.1785,1.0,0.0,7.064,6.66,2.34
宮古,030020,60.0,09/23 20:00,779.2,True,,0,7.4,10.6,0.0,20000.0,0.0,rain,1.1794,1.0,0.0,7.068,6.66,2.34
宮古,030020,63.0,09/23 23:00,865.9,True,,0,6.9,9.9,0.0,20000.0,0.0,rain,1.1802,1.0,0.0,7.07,6.66,2.34
宮古,030020,66.0,09/24 02:00,953.2,True,,0,6.5,9.3,0.0,20000.0,0.0,rain,1.181,1.0,0.0,7.073,6.65,2.33
宮古,030020,69.0,09/24 05:00,1041.1,True,,0,6.2,8.8,0.0,20000.0,0.0,rain,1.1816,1.0,0.0,7.075,6.65,2.33
宮古,030020,72.0,09/24 08:00,1129.4,True,,0,5.9,8.4,0.0,20000.0,0.0,rain,1.1822,1.0,0.0,7.077,6.65,2.32
東京,130010,0.0,09/21 08:00,400.1,False,"wind,gust",2,16.9,24.2,6.8,17625.0,0.17,rain,1.1501,0.976,0.0,6.807,6.74,2.49
東京,130010,3.0,09/21 11:00,329.8,False,"wind,gust,rain",3,19.1,27.2,9.1,16807.0,0.23,rain,1.1507,0.97,0.0,6.767,6.74,2.49
東京,130010,6.0,09/21 14:00,260.6,False,"wind,gust",2,23.1,33.0,5.3,18139.0,0.13,rain,1.1517,0.98,0.0,6.841,6.74,2.49
東京,130010,9.0,09/21 17:00,192.6,False,"wind,gust",2,22.9,32.7,4.1,18565.0,0.1,rain,1.1529,0.984,0.0,6.869,6.74,2.48
東京,130010,12.0,09/21 20:00,125.3,False,"wind,gust",2,27.1,38.7,2.6,19084.0,0.07,rain,1.1543,0.988,0.0,6.907,6.73,2.47
東京,130010,15.0,09/21 23:00,73.6,False,"wind,gust",2,32.8,46.8,1.6,19424.0,0.04,rain,1.1558,0.992,0.0,6.936,6.73,2.46
東京,130010,18.0,09/22 02:00,81.5,False,"wind,gust",2,32.4,46.3,1.0,19639.0,0.03,rain,1.1575,0.994,0.0,6.958,6.72,2.45
東京,130010,21.0,09/22 05:00,141.2,False,"wind,gust",2,27.6,39.4,0.7,19758.0,0.02,rain,1.1593,0.996,0.0,6.974,6.72,2.45
東京,130010,24.0,09/22 08:00,214.3,False,"wind,gust",2,24.1,34.4,0.5,19830.0,0.01,rain,1.1612,0.997,0.0,6.987,6.71,2.44
東京,130010,27.0,09/22 11:00,291.7,False,"wind,gust",2,21.5,30.7,0.3,19885.0,0.01,rain,1.1631,0.998,0.0,6.999,6.71,2.43
東京,130010,30.0,09/22 14:00,371.5,False,"wind,gust",2,19.6,28.0,0.2,19923.0,0.01,rain,1.165,0.998,0.0,7.01,6.7,2.42
東京,130010,33.0,09/22 17:00,452.9,False,"wind,gust",2,18.2,25.9,0.1,19949.0,0.0,rain,1.1669,0.999,0.0,7.019,6.69,2.41
東京,130010,36.0,09/22 20:00,535.4,False,"wind,gust",2,17.0,24.3,0.1,19966.0,0.0,rain,1.1687,0.999,0.0,7.027,6.69,2.4
東京,130010,39.0,09/22 23:00,619.1,False,"wind,gust",2,16.1,23.0,0.1,19978.0,0.0,rain,1.1705,0.999,0.0,7.035,6.68,2.39
東京,130010,42.0,09/23 02:00,703.7,False,"wind,gust",2,15.3,21.9,0.0,19986.0,0.0,rain,1.1722,1.0,0.0,7.042,6.68,2.38
東京,130010,45.0,09/23 05:00,789.0,False,wind,1,8.2,11.7,0.0,20000.0,0.0,rain,1.1737,1.0,0.0,7.05,6.68,2.37
東京,130010,48.0,09/23 08:00,875.1,False,wind,1,7.6,10.9,0.0,20000.0,0.0,rain,1.1751,1.0,0.0,7.054,6.67,2.36
東京,130010,51.0,09/23 11:00,961.9,True,,0,7.1,10.2,0.0,20000.0,0.0,rain,1.1764,1.0,0.0,7.058,6.67,2.36
東京,130010,54.0,09/23 14:00,1049.2,True,,0,6.7,9.6,0.0,20000.0,0.0,rain,1.1775,1.0,0.0,7.062,6.66,2.35
東京,130010,57.0,09/23 17:00,1137.0,True,,0,6.3,9.0,0.0,20000.0,0.0,rain,1.1785,1.0,0.0,7.065,6.66,2.34
東京,130010,60.0,09/23 20:00,1225.3,True,,0,6.0,8.6,0.0,20000.0,0.0,rain,1.1794,1.0,0.0,7.068,6.66,2.34
東京,130010,63.0,09/23 23:00,1314.0,True,,0,5.7,8.1,0.0,20000.0,0.0,rain,1.1802,1.0,0.0,7.07,6.66,2.34
東京,130010,66.0,09/24 02:00,1403.0,True,,0,5.4,7.8,0.0,20000.0,0.0,rain,1.181,1.0,0.0,7.073,6.65,2.33
東京,130010,69.0,09/24 05:00,1492.3,True,,0,5.2,7.4,0.0,20000.0,0.0,rain,1.1816,1.0,0.0,7.075,6.65,2.33
東京,130010,72.0,09/24 08:00,1581.9,True,,0,5.0,7.1,0.0,20000.0,0.0,rain,1.1822,1.0,0.0,7.077,6.65,2.32
横浜,140010,0.0,09/21 08:00,370.6,False,"wind,gust,rain",3,17.5,25.0,8.7,16939.0,0.22,rain,1.15,0.971,0.0,6.772,6.74,2.5
横浜,140010,3.0,09/21 11:00,300.2,False,"wind,gust,rain",3,19.9,28.4,9.4,16717.0,0.23,rain,1.1507,0.97,0.0,6.763,6.74,2.49
横浜,140010,6.0,09/21 14:00,231.0,False,"wind,gust",2,24.4,34.9,5.0,18239.0,0.13,rain,1.1517,0.981,0.0,6.846,6.74,2.49
横浜,140010,9.0,09/21 17:00,163.2,False,"wind,gust",2,24.4,34.9,3.8,18662.0,0.1,rain,1.1529,0.985,0.0,6.875,6.74,2.48
横浜,140010,12.0,09/21 20:00,97.5,False,"wind,gust",2,29.7,42.4,2.4,19148.0,0.06,rain,1.1543,0.989,0.0,6.911,6.73,2.47
横浜,140010,15.0,09/21 23:00,59.0,False,"wind,gust",2,27.8,39.7,1.5,19474.0,0.04,rain,1.1559,0.992,0.0,6.939,6.73,2.46
横浜,140010,18.0,09/22 02:00,94.9,False,"wind,gust",2,31.8,45.4,1.0,19656.0,0.02,rain,1.1575,0.995,0.0,6.96,6.72,2.45
横浜,140010,21.0,09/22 05:00,163.3,False,"wind,gust",2,26.3,37.6,0.7,19767.0,0.02,rain,1.1593,0.996,0.0,6.975,6.72,2.45
横浜,140010,24.0,09/22 08:00,238.9,False,"wind,gust",2,23.2,33.2,0.5,19836.0,0.01,rain,1.1612,0.997,0.0,6.988,6.71,2.44
横浜,140010,27.0,09/22 11:00,317.4,False,"wind,gust",2,20.9,29.8,0.3,19889.0,0.01,rain,1.1631,0.998,0.0,7.0,6.71,2.43
横浜,140010,30.0,09/22 14:00,397.7,False,"wind,gust",2,19.1,27.3,0.2,19926.0,0.01,rain,1.165,0.998,0.0,7.01,6.7,2.42
横浜,140010,33.0,09/22 17:00,479.4,False,"wind,gust",2,17.8,25.4,0.1,19951.0,0.0,rain,1.1669,0.999,0.0,7.019,6.69,2.41
横浜,140010,36.0,09/22 20:00,562.2,False,"wind,gust",2,16.7,23.9,0.1,19968.0,0.0,rain,1.1687,0.999,0.0,7.028,6.69,2.4
横浜,140010,39.0,09/22 23:00,646.0,False,"wind,gust",2,15.8,22.6,0.1,19979.0,0.0,rain,1.1705,0.999,0.0,7.035,6.68,2.39
横浜,140010,42.0,09/23 02:00,730.6,False,"wind,gust",2,15.1,21.6,0.0,19986.0,0.0,rain,1.1722,1.0,0.0,7.042,6.68,2.38
横浜,140010,45.0,09/23 05:00,816.1,False,wind,1,8.1,11.6,0.0,20000.0,0.0,rain,1.1737,1.0,0.0,7.05,6.68,2.37
横浜,140010,48.0,09/23 08:00,902.2,True,,0,7.5,10.8,0.0,20000.0,0.0,rain,1.1751,1.0,0.0,7.054,6.67,2.36
横浜,140010,51.0,09/23 11:00,989.0,True,,0,7.0,10.1,0.0,20000.0,0.0,rain,1.1764,1.0,0.0,7.058,6.67,2.36
横浜,140010,54.0,09/23 14:00,1076.3,True,,0,6.6,9.5,0.0,20000.0,0.0,rain,1.1775,1.0,0.0,7.062,6.66,2.35
横浜,140010,57.0,09/23 17:00,1164.2,True,,0,6.3,8.9,0.0,20000.0,0.0,rain,1.1785,1.0,0.0,7.065,6.66,2.34
横浜,140010,60.0,09/23 20:00,1252.5,True,,0,5.9,8.5,0.0,20000.0,0.0,rain,1.1794,1.0,0.0,7.068,6.66,2.34
横浜,140010,63.0,09/23 23:00,1341.2,True,,0,5.7,8.1,0.0,20000.0,0.0,rain,1.1802,1.0,0.0,7.07,6.66,2.34
横浜,140010,66.0,09/24 02:00,1430.3,True,,0,5.4,7.7,0.0,20000.0,0.0,rain,1.181,1.0,0.0,7.073,6.65,2.33
横浜,140010,69.0,09/24 05:00,1519.7,True,,0,5.2,7.4,0.0,20000.0,0.0,rain,1.1816,1.0,0.0,7.075,6.65,2.33
横浜,140010,72.0,09/24 08:00,1609.3,True,,0,5.0,7.1,0.0,20000.0,0.0,rain,1.1822,1.0,0.0,7.077,6.65,2.32
水戸,080020,0.0,09/21 08:00,495.3,False,"wind,gust",2,15.4,22.0,3.4,18799.0,0.09,rain,1.1502,0.986,0.0,6.875,6.74,2.49
水戸,080020,3.0,09/21 11:00,424.8,False,"wind,gust",2,16.9,24.2,5.9,17935.0,0.15,rain,1.1508,0.979,0.0,6.826,6.74,2.49
水戸,080020,6.0,09/21 14:00,354.7,False,"wind,gust",2,20.0,28.5,7.9,17223.0,0.2,rain,1.1516,0.973,0.0,6.791,6.74,2.49
水戸,080020,9.0,09/21 17:00,284.7,False,"wind,gust",2,19.9,28.5,6.3,17793.0,0.16,rain,1.1528,0.977,0.0,6.825,6.74,2.48
水戸,080020,12.0,09/21 20:00,212.4,False,"wind,gust",2,22.6,32.3,4.0,18592.0,0.1,rain,1.1542,0.984,0.0,6.875,6.73,2.47
水戸,080020,15.0,09/21 23:00,141.4,False,"wind,gust",2,26.5,37.8,2.6,19082.0,0.07,rain,1.1558,0.988,0.0,6.911,6.73,2.46
水戸,080020,18.0,09/22 02:00,78.0,False,"wind,gust",2,32.2,46.0,1.7,19413.0,0.04,rain,1.1575,0.992,0.0,6.94,6.72,2.45
水戸,080020,21.0,09/22 05:00,62.6,False,"wind,gust",2,24.3,34.7,1.0,19639.0,0.03,rain,1.1593,0.994,0.0,6.964,6.72,2.45
水戸,080020,24.0,09/22 08:00,119.1,False,"wind,gust",2,29.8,42.6,0.7,19757.0,0.02,rain,1.1612,0.996,0.0,6.98,6.71,2.44
水戸,080020,27.0,09/22 11:00,193.4,False,"wind,gust",2,25.1,35.8,0.5,19836.0,0.01,rain,1.1631,0.997,0.0,6.994,6.71,2.43
水戸,080020,30.0,09/22 14:00,272.2,False,"wind,gust",2,22.1,31.5,0.3,19890.0,0.01,rain,1.165,0.998,0.0,7.006,6.7,2.42
水戸,080020,33.0,09/22 17:00,353.2,False,"wind,gust",2,20.0,28.6,0.2,19927.0,0.01,rain,1.1669,0.998,0.0,7.016,6.7,2.41
水戸,080020,36.0,09/22 20:00,435.6,False,"wind,gust",2,18.4,26.3,0.1,19952.0,0.0,rain,1.1687,0.999,0.0,7.025,6.69,2.4
水戸,080020,39.0,09/22 23:00,519.2,False,"wind,gust",2,17.2,24.6,0.1,19968.0,0.0,rain,1.1705,0.999,0.0,7.033,6.68,2.39
水戸,080020,42.0,09/23 02:00,603.7,False,"wind,gust",2,16.2,23.2,0.1,19979.0,0.0,rain,1.1722,0.999,0.0,7.041,6.68,2.38
水戸,080020,45.0,09/23 05:00,689.0,False,"wind,gust",2,8.8,12.5,0.0,19999.0,0.0,rain,1.1737,1.0,0.0,7.049,6.68,2.37
水戸,080020,48.0,09/23 08:00,775.1,False,wind,1,8.1,11.5,0.0,20000.0,0.0,rain,1.1751,1.0,0.0,7.054,6.67,2.36
水戸,080020,51.0,09/23 11:00,861.8,True,,0,7.5,10.7,0.0,20000.0,0.0,rain,1.1764,1.0,0.0,7.058,6.67,2.36
水戸,080020,54.0,09/23 14:00,949.1,True,,0,7.0,10.0,0.0,20000.0,0.0,rain,1.1775,1.0,0.0,7.062,6.66,2.35
水戸,080020,57.0,09/23 17:00,1036.9,True,,0,6.6,9.4,0.0,20000.0,0.0,rain,1.1785,1.0,0.0,7.065,6.66,2.34
水戸,080020,60.0,09/23 20:00,1125.2,True,,0,6.2,8.9,0.0,20000.0,0.0,rain,1.1794,1.0,0.0,7.068,6.66,2.34
水戸,080020,63.0,09/23 23:00,1213.9,True,,0,5.9,8.5,0.0,20000.0,0.0,rain,1.1802,1.0,0.0,7.07,6.66,2.34
水戸,080020,66.0,09/24 02:00,1302.9,True,,0,5.6,8.1,0.0,20000.0,0.0,rain,1.181,1.0,0.0,7.073,6.65,2.33
水戸,080020,69.0,09/24 05:00,1392.3,True,,0,5.4,7.7,0.0,20000.0,0.0,rain,1.1816,1.0,0.0,7.075,6.65,2.33
水戸,080020,72.0,09/24 08:00,1481.9,True,,0,5.2,7.4,0.0,20000.0,0.0,rain,1.1822,1.0,0.0,7.077,6.65,2.32
甲府,,0.0,09/21 08:00,375.1,False,"wind,gust",2,17.6,25.2,6.6,17674.0,0.17,rain,1.1501,0.977,0.0,6.81,6.74,2.49
甲府,,3.0,09/21 11:00,309.4,False,"wind,gust",2,19.6,28.0,6.0,17906.0,0.15,rain,1.1508,0.978,0.0,6.825,6.74,2.49
甲府,,6.0,09/21 14:00,249.7,False,"wind,gust",2,23.6,33.7,4.1,18572.0,0.1,rain,1.1517,0.984,0.0,6.866,6.74,2.49
甲府,,9.0,09/21 17:00,198.8,False,"wind,gust",2,21.7,31.0,2.9,18973.0,0.07,rain,1.1529,0.987,0.0,6.895,6.74,2.48
甲府,,12.0,09/21 20:00,163.1,False,"wind,gust",2,23.6,33.7,1.9,19335.0,0.05,rain,1.1543,0.991,0.0,6.924,6.73,2.47
甲府,,15.0,09/21 23:00,159.1,False,"wind,gust",2,24.3,34.7,1.2,19579.0,0.03,rain,1.1559,0.994,0.0,6.948,6.73,2.46
甲府,,18.0,09/22 02:00,189.6,False,"wind,gust",2,23.6,33.7,0.8,19716.0,0.02,rain,1.1575,0.995,0.0,6.965,6.72,2.45
甲府,,21.0,09/22 05:00,243.0,False,"wind,gust",2,21.8,31.2,0.5,19808.0,0.01,rain,1.1593,0.996,0.0,6.979,6.72,2.45
甲府,,24.0,09/22 08:00,308.6,False,"wind,gust",2,20.5,29.2,0.4,19863.0,0.01,rain,1.1612,0.997,0.0,6.991,6.71,2.44
甲府,,27.0,09/22 11:00,380.7,False,"wind,gust",2,19.0,27.1,0.3,19907.0,0.01,rain,1.1631,0.998,0.0,7.002,6.71,2.43
甲府,,30.0,09/22 14:00,456.7,False,"wind,gust",2,17.8,25.4,0.2,19938.0,0.0,rain,1.165,0.999,0.0,7.011,6.7,2.42
甲府,,33.0,09/22 17:00,535.5,False,"wind,gust",2,16.8,24.0,0.1,19958.0,0.0,rain,1.1669,0.999,0.0,7.02,6.69,2.41
甲府,,36.0,09/22 20:00,616.1,False,"wind,gust",2,15.9,22.7,0.1,19973.0,0.0,rain,1.1687,0.999,0.0,7.028,6.69,2.4
甲府,,39.0,09/22 23:00,698.3,False,"wind,gust",2,15.2,21.7,0.1,19982.0,0.0,rain,1.1705,0.999,0.0,7.036,6.68,2.39
甲府,,42.0,09/23 02:00,781.7,False,"wind,gust",2,14.5,20.8,0.0,19988.0,0.0,rain,1.1722,1.0,0.0,7.042,6.68,2.38
甲府,,45.0,09/23 05:00,866.2,False,wind,1,7.9,11.2,0.0,20000.0,0.0,rain,1.1737,1.0,0.0,7.05,6.68,2.37
甲府,,48.0,09/23 08:00,951.6,True,,0,7.3,10.5,0.0,20000.0,0.0,rain,1.1751,1.0,0.0,7.054,6.67,2.36
甲府,,51.0,09/23 11:00,1037.7,True,,0,6.9,9.8,0.0,20000.0,0.0,rain,1.1764,1.0,0.0,7.058,6.67,2.36
甲府,,54.0,09/23 14:00,1124.4,True,,0,6.5,9.3,0.0,20000.0,0.0,rain,1.1775,1.0,0.0,7.062,6.66,2.35
甲府,,57.0,09/23 17:00,1211.8,True,,0,6.1,8.8,0.0,20000.0,0.0,rain,1.1785,1.0,0.0,7.065,6.66,2.34
甲府,,60.0,09/23 20:00,1299.7,True,,0,5.8,8.3,0.0,20000.0,0.0,rain,1.1794,1.0,0.0,7.068,6.66,2.34
甲府,,63.0,09/23 23:00,1387.9,True,,0,5.6,7.9,0.0,20000.0,0.0,rain,1.1802,1.0,0.0,7.07,6.66,2.34
甲府,,66.0,09/24 02:00,1476.6,True,,0,5.3,7.6,0.0,20000.0,0.0,rain,1.181,1.0,0.0,7.073,6.65,2.33
甲府,,69.0,09/24 05:00,1565.6,True,,0,5.1,7.3,0.0,20000.0,0.0,rain,1.1816,1.0,0.0,7.075,6.65,2.33
甲府,,72.0,09/24 08:00,1654.9,True,,0,4.9,7.0,0.0,20000.0,0.0,rain,1.1822,1.0,0.0,7.077,6.65,2.32
銚子,120020,0.0,09/21 08:00,449.1,False,"wind,gust",2,16.0,22.8,3.9,18650.0,0.1,rain,1.1502,0.985,0.0,6.866,6.74,2.49
銚子,120020,3.0,09/21 11:00,379.3,False,"wind,gust",2,17.8,25.5,6.5,17729.0,0.16,rain,1.1508,0.977,0.0,6.815,6.74,2.49
銚子,120020,6.0,09/21 14:00,309.4,False,"wind,gust",2,21.3,30.4,6.2,17843.0,0.15,rain,1.1517,0.978,0.0,6.824,6.74,2.49
銚子,120020,9.0,09/21 17:00,238.9,False,"wind,gust",2,21.9,31.3,4.5,18422.0,0.11,rain,1.1529,0.983,0.0,6.861,6.74,2.48
銚子,120020,12.0,09/21 20:00,165.6,False,"wind,gust",2,25.8,36.8,2.9,18999.0,0.07,rain,1.1543,0.988,0.0,6.901,6.73,2.47
銚子,120020,15.0,09/21 23:00,91.3,False,"wind,gust",2,33.1,47.3,1.9,19337.0,0.05,rain,1.1558,0.991,0.0,6.929,6.73,2.46
銚子,120020,18.0,09/22 02:00,19.1,True,,0,5.7,8.1,1.2,19563.0,0.03,rain,1.1575,0.993,0.0,6.952,6.72,2.45
銚子,120020,21.0,09/22 05:00,64.1,False,"wind,gust",2,18.5,26.5,0.9,19698.0,0.02,rain,1.1593,0.995,0.0,6.969,6.72,2.45
銚子,120020,24.0,09/22 08:00,142.1,False,"wind,gust",2,29.4,41.9,0.6,19791.0,0.01,rain,1.1612,0.996,0.0,6.983,6.71,2.44
銚子,120020,27.0,09/22 11:00,221.8,False,"wind,gust",2,24.5,35.1,0.4,19859.0,0.01,rain,1.1631,0.997,0.0,6.996,6.71,2.43
銚子,120020,30.0,09/22 14:00,302.7,False,"wind,gust",2,21.7,30.9,0.3,19905.0,0.01,rain,1.165,0.998,0.0,7.007,6.7,2.42
銚子,120020,33.0,09/22 17:00,384.7,False,"wind,gust",2,19.7,28.1,0.2,19937.0,0.0,rain,1.1669,0.998,0.0,7.017,6.69,2.41
銚子,120020,36.0,09/22 20:00,467.7,False,"wind,gust",2,18.2,26.0,0.1,19958.0,0.0,rain,1.1687,0.999,0.0,7.026,6.69,2.4
銚子,120020,39.0,09/22 23:00,551.5,False,"wind,gust",2,17.0,24.3,0.1,19973.0,0.0,rain,1.1705,0.999,0.0,7.034,6.68,2.39
銚子,120020,42.0,09/23 02:00,636.2,False,"wind,gust",2,16.1,23.0,0.1,19982.0,0.0,rain,1.1722,0.999,0.0,7.041,6.68,2.38
銚子,120020,45.0,09/23 05:00,721.7,False,"wind,gust",2,8.6,12.2,0.0,19999.0,0.0,rain,1.1737,1.0,0.0,7.05,6.68,2.37
銚子,120020,48.0,09/23 08:00,807.8,False,wind,1,7.9,11.3,0.0,20000.0,0.0,rain,1.1751,1.0,0.0,7.054,6.67,2.36
銚子,120020,51.0,09/23 11:00,894.6,True,,0,7.4,10.5,0.0,20000.0,0.0,rain,1.1764,1.0,0.0,7.058,6.67,2.36
銚子,120020,54.0,09/23 14:00,982.0,True,,0,6.9,9.9,0.0,20000.0,0.0,rain,1.1775,1.0,0.0,7.062,6.66,2.35
銚子,120020,57.0,09/23 17:00,1069.8,True,,0,6.5,9.3,0.0,20000.0,0.0,rain,1.1785,1.0,0.0,7.065,6.66,2.34
銚子,120020,60.0,09/23 20:00,1158.2,True,,0,6.2,8.8,0.0,20000.0,0.0,rain,1.1794,1.0,0.0,7.068,6.66,2.34
銚子,120020,63.0,09/23 23:00,1246.9,True,,0,5.8,8.4,0.0,20000.0,0.0,rain,1.1802,1.0,0.0,7.07,6.66,2.34
銚子,120020,66.0,09/24 02:00,1336.0,True,,0,5.6,8.0,0.0,20000.0,0.0,rain,1.181,1.0,0.0,7.073,6.65,2.33
銚子,120020,69.0,09/24 05:00,1425.5,True,,0,5.3,7.6,0.0,20000.0,0.0,rain,1.1816,1.0,0.0,7.075,6.65,2.33
銚子,120020,72.0,09/24 08:00,1515.2,True,,0,5.1,7.3,0.0,20000.0,0.0,rain,1.1822,1.0,0.0,7.077,6.65,2.32
静岡,220010,0.0,09/21 08:00,297.6,False,"wind,gust",2,19.5,27.8,6.7,17667.0,0.17,rain,1.1501,0.977,0.0,6.81,6.74,2.49
静岡,220010,3.0,09/21 11:00,233.2,False,"wind,gust",2,22.4,32.0,4.8,18311.0,0.12,rain,1.1508,0.982,0.0,6.848,6.74,2.49
静岡,220010,6.0,09/21 14:00,177.3,False,"wind,gust",2,27.7,39.5,3.0,18956.0,0.07,rain,1.1518,0.987,0.0,6.89,6.74,2.49
静岡,220010,9.0,09/21 17:00,138.0,False,"wind,gust",2,24.8,35.4,2.0,19287.0,0.05,rain,1.153,0.99,0.0,6.916,6.74,2.48
静岡,220010,12.0,09/21 20:00,130.0,False,"wind,gust",2,26.0,37.2,1.3,19550.0,0.03,rain,1.1543,0.993,0.0,6.941,6.73,2.47
静岡,220010,15.0,09/21 23:00,162.6,False,"wind,gust",2,24.9,35.5,0.8,19703.0,0.02,rain,1.1559,0.995,0.0,6.958,6.73,2.46
静岡,220010,18.0,09/22 02:00,219.1,False,"wind,gust",2,23.0,32.8,0.6,19791.0,0.01,rain,1.1575,0.996,0.0,6.972,6.72,2.45
静岡,220010,21.0,09/22 05:00,286.7,False,"wind,gust",2,20.9,29.9,0.4,19858.0,0.01,rain,1.1593,0.997,0.0,6.984,6.72,2.45
静岡,220010,24.0,09/22 08:00,359.9,False,"wind,gust",2,19.6,28.0,0.3,19898.0,0.01,rain,1.1612,0.998,0.0,6.994,6.71,2.44
静岡,220010,27.0,09/22 11:00,436.5,False,"wind,gust",2,18.2,26.1,0.2,19931.0,0.0,rain,1.1631,0.998,0.0,7.005,6.71,2.43
静岡,220010,30.0,09/22 14:00,515.3,False,"wind,gust",2,17.1,24.5,0.1,19954.0,0.0,rain,1.165,0.999,0.0,7.014,6.7,2.42
静岡,220010,33.0,09/22 17:00,596.0,False,"wind,gust",2,16.2,23.2,0.1,19969.0,0.0,rain,1.1669,0.999,0.0,7.022,6.69,2.41
静岡,220010,36.0,09/22 20:00,678.0,False,"wind,gust",2,15.4,22.1,0.1,19980.0,0.0,rain,1.1687,0.999,0.0,7.03,6.69,2.4
静岡,220010,39.0,09/22 23:00,761.1,False,"wind,gust",2,14.8,21.1,0.0,19987.0,0.0,rain,1.1705,1.0,0.0,7.036,6.68,2.39
静岡,220010,42.0,09/23 02:00,845.3,False,"wind,gust",2,14.2,20.2,0.0,19991.0,0.0,rain,1.1722,1.0,0.0,7.043,6.68,2.38
静岡,220010,45.0,09/23 05:00,930.4,True,,0,7.6,10.9,0.0,20000.0,0.0,rain,1.1737,1.0,0.0,7.05,6.68,2.37
静岡,220010,48.0,09/23 08:00,1016.2,True,,0,7.1,10.2,0.0,20000.0,0.0,rain,1.1751,1.0,0.0,7.054,6.67,2.36
静岡,220010,51.0,09/23 11:00,1102.7,True,,0,6.7,9.6,0.0,20000.0,0.0,rain,1.1764,1.0,0.0,7.058,6.67,2.36
静岡,220010,54.0,09/23 14:00,1189.8,True,,0,6.3,9.0,0.0,20000.0,0.0,rain,1.1775,1.0,0.0,7.062,6.66,2.35
静岡,220010,57.0,09/23 17:00,1277.5,True,,0,6.0,8.6,0.0,20000.0,0.0,rain,1.1785,1.0,0.0,7.065,6.66,2.34
静岡,220010,60.0,09/23 20:00,1365.6,True,,0,5.7,8.1,0.0,20000.0,0.0,rain,1.1794,1.0,0.0,7.068,6.66,2.34
静岡,220010,63.0,09/23 23:00,1454.1,True,,0,5.4,7.8,0.0,20000.0,0.0,rain,1.1802,1.0,0.0,7.07,6.66,2.34
静岡,220010,66.0,09/24 02:00,1543.0,True,,0,5.2,7.4,0.0,20000.0,0.0,rain,1.181,1.0,0.0,7.073,6.65,2.33
静岡,220010,69.0,09/24 05:00,1632.2,True,,0,5.0,7.1,0.0,20000.0,0.0,rain,1.1816,1.0,0.0,7.075,6.65,2.33
静岡,220010,72.0,09/24 08:00,1721.7,True,,0,4.8,6.9,0.0,20000.0,0.0,rain,1.1822,1.0,0.0,7.077,6.65,2.32
高知,390010,0.0,09/21 08:00,465.2,False,"wind,gust",2,16.8,24.0,0.3,19881.0,0.01,rain,1.1503,0.998,0.0,6.957,6.74,2.49
高知,390010,3.0,09/21 11:00,475.4,False,"wind,gust",2,16.0,22.9,0.2,19931.0,0.0,rain,1.151,0.998,0.0,6.965,6.74,2.49
高知,390010,6.0,09/21 14:00,500.3,False,"wind,gust",2,17.0,24.3,0.2,19930.0,0.01,rain,1.1519,0.998,0.0,6.968,6.74,2.49
高知,390010,9.0,09/21 17:00,536.1,False,"wind,gust",2,15.1,21.6,0.1,19969.0,0.0,rain,1.153,0.999,0.0,6.977,6.74,2.48
高知,390010,12.0,09/21 20:00,580.6,False,"wind,gust",2,15.0,21.5,0.1,19975.0,0.0,rain,1.1544,0.999,0.0,6.982,6.73,2.47
高知,390010,15.0,09/21 23:00,633.0,False,"wind,gust",2,14.7,21.0,0.1,19982.0,0.0,rain,1.1559,0.999,0.0,6.989,6.73,2.46
高知,390010,18.0,09/22 02:00,691.5,False,"wind,gust",2,14.5,20.7,0.0,19986.0,0.0,rain,1.1576,1.0,0.0,6.995,6.72,2.45
高知,390010,21.0,09/22 05:00,755.0,False,"wind,gust",2,14.1,20.1,0.0,19990.0,0.0,rain,1.1593,1.0,0.0,7.001,6.72,2.45
高知,390010,24.0,09/22 08:00,822.6,False,"wind,gust",2,13.9,19.9,0.0,19992.0,0.0,rain,1.1612,1.0,0.0,7.008,6.71,2.44
高知,390010,27.0,09/22 11:00,893.5,False,"wind,gust",2,13.5,19.3,0.0,19995.0,0.0,rain,1.1631,1.0,0.0,7.014,6.71,2.43
高知,390010,30.0,09/22 14:00,967.2,False,"wind,gust",2,13.1,18.8,0.0,19996.0,0.0,rain,1.165,1.0,0.0,7.021,6.7,2.42
高知,390010,33.0,09/22 17:00,1043.2,False,"wind,gust",2,12.8,18.2,0.0,19998.0,0.0,rain,1.1669,1.0,0.0,7.027,6.69,2.41
高知,390010,36.0,09/22 20:00,1121.1,False,"wind,gust",2,12.4,17.8,0.0,19998.0,0.0,rain,1.1687,1.0,0.0,7.033,6.69,2.4
