site,area,lead_h,stamp_jst,dist_km,go,breach,n_breach,wind_m_s,gust_m_s,rain_mm_h,visibility_m,lightning_risk,condition,density_kg_m3,prop_factor,extra_cd,margin,v_stall_m_s,alpha_trim_deg
三宅島,130020,36.0,09/22 20:00,684.6,False,"wind,gust",2,15.7,22.4,0.1,19980.0,0.0,rain,1.1687,0.999,0.0,7.03,6.69,2.4
三宅島,130020,39.0,09/22 23:00,768.5,False,"wind,gust",2,15.0,21.4,0.0,19987.0,0.0,rain,1.1705,1.0,0.0,7.036,6.68,2.39
三宅島,130020,42.0,09/23 02:00,853.1,False,"wind,gust",2,14.3,20.5,0.0,19991.0,0.0,rain,1.1722,1.0,0.0,7.043,6.68,2.38
三宅島,130020,45.0,09/23 05:00,938.6,True,,0,7.6,10.8,0.0,20000.0,0.0,rain,1.1737,1.0,0.0,7.05,6.68,2.37
三宅島,130020,48.0,09/23 08:00,1024.7,True,,0,7.1,10.1,0.0,20000.0,0.0,rain,1.1751,1.0,0.0,7.054,6.67,2.36
三宅島,130020,51.0,09/23 11:00,1111.4,True,,0,6.7,9.5,0.0,20000.0,0.0,rain,1.1764,1.0,0.0,7.058,6.67,2.36
三宅島,130020,54.0,09/23 14:00,1198.8,True,,0,6.3,9.0,0.0,20000.0,0.0,rain,1.1775,1.0,0.0,7.062,6.66,2.35
三宅島,130020,57.0,09/23 17:00,1286.6,True,,0,6.0,8.5,0.0,20000.0,0.0,rain,1.1785,1.0,0.0,7.065,6.66,2.34
三宅島,130020,60.0,09/23 20:00,1374.9,True,,0,5.7,8.1,0.0,20000.0,0.0,rain,1.1794,1.0,0.0,7.068,6.66,2.34
三宅島,130020,63.0,09/23 23:00,1463.6,True,,0,5.4,7.7,0.0,20000.0,0.0,rain,1.1802,1.0,0.0,7.07,6.66,2.34
三宅島,130020,66.0,09/24 02:00,1552.7,True,,0,5.2,7.4,0.0,20000.0,0.0,rain,1.181,1.0,0.0,7.073,6.65,2.33
三宅島,130020,69.0,09/24 05:00,1642.2,True,,0,5.0,7.1,0.0,20000.0,0.0,rain,1.1816,1.0,0.0,7.075,6.65,2.33
三宅島,130020,72.0,09/24 08:00,1731.9,True,,0,4.8,6.9,0.0,20000.0,0.0,rain,1.1822,1.0,0.0,7.077,6.65,2.32
仙台,040010,0.0,09/21 08:00,703.5,False,"wind,gust",2,13.3,19.0,1.0,19657.0,0.02,rain,1.1503,0.995,0.0,6.936,6.74,2.49
仙台,040010,3.0,09/21 11:00,633.1,False,"wind,gust",2,14.0,20.0,1.7,19406.0,0.04,rain,1.1509,0.992,0.0,6.918,6.74,2.49
仙台,040010,6.0,09/21 14:00,563.8,False,"wind,gust",2,16.1,22.9,4.0,18590.0,0.1,rain,1.1517,0.984,0.0,6.867,6.74,2.49
仙台,040010,9.0,09/21 17:00,494.9,False,"wind,gust",2,15.9,22.8,3.8,18682.0,0.09,rain,1.1529,0.985,0.0,6.876,6.74,2.48
仙台,040010,12.0,09/21 20:00,424.0,False,"wind,gust",2,17.1,24.5,4.8,18307.0,0.12,rain,1.1542,0.982,0.0,6.858,6.73,2.47
仙台,040010,15.0,09/21 23:00,354.1,False,"wind,gust",2,18.4,26.3,4.5,18408.0,0.11,rain,1.1557,0.982,0.0,6.869,6.73,2.46
仙台,040010,18.0,09/22 02:00,286.3,False,"wind,gust",2,20.1,28.8,3.5,18763.0,0.09,rain,1.1574,0.985,0.0,6.896,6.72,2.46
仙台,040010,21.0,09/22 05:00,223.3,False,"wind,gust",2,21.9,31.3,2.5,19136.0,0.06,rain,1.1593,0.989,0.0,6.926,6.72,2.45
仙台,040010,24.0,09/22 08:00,173.1,False,"wind,gust",2,24.1,34.5,1.6,19437.0,0.04,rain,1.1611,0.992,0.0,6.954,6.71,2.44
仙台,040010,27.0,09/22 11:00,150.9,False,"wind,gust",2,25.3,36.1,1.0,19648.0,0.03,rain,1.163,0.994,0.0,6.977,6.71,2.43
仙台,040010,30.0,09/22 14:00,169.6,False,"wind,gust",2,24.6,35.2,0.6,19777.0,0.02,rain,1.165,0.996,0.0,6.994,6.7,2.42
仙台,040010,33.0,09/22 17:00,220.1,False,"wind,gust",2,22.8,32.5,0.4,19854.0,0.01,rain,1.1669,0.997,0.0,7.008,6.7,2.41
仙台,040010,36.0,09/22 20:00,286.8,False,"wind,gust",2,20.9,29.8,0.3,19903.0,0.01,rain,1.1687,0.998,0.0,7.019,6.69,2.4
仙台,040010,39.0,09/22 23:00,361.4,False,"wind,gust",2,19.3,27.5,0.2,19936.0,0.0,rain,1.1705,0.998,0.0,7.029,6.68,2.39
仙台,040010,42.0,09/23 02:00,440.2,False,"wind,gust",2,17.9,25.6,0.1,19958.0,0.0,rain,1.1722,0.999,0.0,7.037,6.68,2.38
仙台,040010,45.0,09/23 05:00,521.7,False,"wind,gust",2,10.0,14.3,0.0,19996.0,0.0,rain,1.1737,1.0,0.0,7.049,6.68,2.37
仙台,040010,48.0,09/23 08:00,605.0,False,"wind,gust",2,9.1,13.0,0.0,19998.0,0.0,rain,1.1751,1.0,0.0,7.053,6.67,2.36
仙台,040010,51.0,09/23 11:00,689.6,False,"wind,gust",2,8.3,11.9,0.0,19999.0,0.0,rain,1.1764,1.0,0.0,7.058,6.67,2.36
仙台,040010,54.0,09/23 14:00,775.3,False,wind,1,7.7,11.0,0.0,20000.0,0.0,rain,1.1775,1.0,0.0,7.061,6.66,2.35
仙台,040010,57.0,09/23 17:00,861.8,True,,0,7.2,10.3,0.0,20000.0,0.0,rain,1.1785,1.0,0.0,7.065,6.66,2.34
仙台,040010,60.0,09/23 20:00,948.9,True,,0,6.8,9.7,0.0,20000.0,0.0,rain,1.1794,1.0,0.0,7.068,6.66,2.34
仙台,040010,63.0,09/23 23:00,1036.6,True,,0,6.4,9.1,0.0,20000.0,0.0,rain,1.1802,1.0,0.0,7.07,6.66,2.34
仙台,040010,66.0,09/24 02:00,1124.8,True,,0,6.0,8.6,0.0,20000.0,0.0,rain,1.181,1.0,0.0,7.073,6.65,2.33
仙台,040010,69.0,09/24 05:00,1213.4,True,,0,5.7,8.2,0.0,20000.0,0.0,rain,1.1816,1.0,0.0,7.075,6.65,2.33
仙台,040010,72.0,09/24 08:00,1302.3,True,,0,5.5,7.8,0.0,20000.0,0.0,rain,1.1822,1.0,0.0,7.077,6.65,2.32
八丈島,130030,0.0,09/21 08:00,165.8,False,"wind,gust",2,24.1,34.5,3.8,18655.0,0.1,rain,1.1502,0.985,0.0,6.866,6.74,2.49
八丈島,130030,3.0,09/21 11:00,113.6,False,"wind,gust",2,31.4,44.9,2.5,19127.0,0.06,rain,1.1509,0.989,0.0,6.899,6.74,2.49
八丈島,130030,6.0,09/21 14:00,85.5,False,"wind,gust",2,26.7,38.1,1.7,19401.0,0.04,rain,1.1518,0.992,0.0,6.921,6.74,2.49
八丈島,130030,9.0,09/21 17:00,105.7,False,"wind,gust",2,33.2,47.4,1.3,19553.0,0.03,rain,1.153,0.993,0.0,6.936,6.74,2.48
八丈島,130030,12.0,09/21 20:00,160.5,False,"wind,gust",2,28.2,40.2,0.9,19676.0,0.02,rain,1.1543,0.995,0.0,6.951,6.73,2.47
八丈島,130030,15.0,09/21 23:00,226.3,False,"wind,gust",2,24.4,34.8,0.6,19775.0,0.02,rain,1.1559,0.996,0.0,6.965,6.73,2.46
八丈島,130030,18.0,09/22 02:00,297.1,False,"wind,gust",2,22.1,31.5,0.5,19837.0,0.01,rain,1.1576,0.997,0.0,6.976,6.72,2.45
八丈島,130030,21.0,09/22 05:00,371.2,False,"wind,gust",2,20.1,28.7,0.3,19888.0,0.01,rain,1.1593,0.998,0.0,6.987,6.72,2.45
八丈島,130030,24.0,09/22 08:00,447.4,False,"wind,gust",2,18.9,27.0,0.2,19918.0,0.01,rain,1.1612,0.998,0.0,6.997,6.71,2.44
八丈島,130030,27.0,09/22 11:00,525.2,False,"wind,gust",2,17.7,25.3,0.2,19944.0,0.0,rain,1.1631,0.999,0.0,7.006,6.71,2.43
八丈島,130030,30.0,09/22 14:00,604.7,False,"wind,gust",2,16.7,23.8,0.1,19962.0,0.0,rain,1.165,0.999,0.0,7.015,6.7,2.42
八丈島,130030,33.0,09/22 17:00,685.4,False,"wind,gust",2,15.8,22.6,0.1,19975.0,0.0,rain,1.1669,0.999,0.0,7.023,6.69,2.41
八丈島,130030,36.0,09/22 20:00,767.2,False,"wind,gust",2,15.1,21.6,0.0,19983.0,0.0,rain,1.1687,0.999,0.0,7.03,6.69,2.4
八丈島,130030,39.0,09/22 23:00,850.1,False,"wind,gust",2,14.5,20.7,0.0,19989.0,0.0,rain,1.1705,1.0,0.0,7.037,6.68,2.39
八丈島,130030,42.0,09/23 02:00,934.0,False,"wind,gust",2,13.9,19.9,0.0,19993.0,0.0,rain,1.1722,1.0,0.0,7.043,6.68,2.38
八丈島,130030,45.0,09/23 05:00,1018.7,True,,0,7.3,10.4,0.0,20000.0,0.0,rain,1.1737,1.0,0.0,7.05,6.68,2.37
八丈島,130030,48.0,09/23 08:00,1104.2,True,,0,6.8,9.8,0.0,20000.0,0.0,rain,1.1751,1.0,0.0,7.054,6.67,2.36
